areaScorePostScheduling,areaScorePostDSP,areaScorePostAssignment,designLatency,clockPeriod,numClocks,hlsDir,h5Path
29116.8,35621.3,35378.0,160.0,10.0,16,./hlsVerification/m1_b10__model_trial_1222.h/hlsCatapultModel2_20260625_124430/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_10bit_normalised_selected_pareto_secondary__model_trial_1222.h5
38615.4,45951.8,45642.0,160.0,10.0,16,./hlsVerification/m1_b10__model_trial_1224.h/hlsCatapultModel2_20260625_124101/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_10bit_normalised_selected__model_trial_1224.h5
13518.8,18342.6,18207.9,160.0,10.0,16,./hlsVerification/m1_b10__model_trial_1228.h/hlsCatapultModel2_20260625_124933/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_10bit_normalised_selected__model_trial_1228.h5
136419.8,151119.7,150269.6,180.0,10.0,18,./hlsVerification/m1_b10__model_trial_1231.h/hlsCatapultModel2_20260625_122554/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_10bit_normalised_selected__model_trial_1231.h5
90733.0,102813.9,102156.5,180.0,10.0,18,./hlsVerification/m1_b10__model_trial_1232.h/hlsCatapultModel2_20260625_122954/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_10bit_normalised_selected__model_trial_1232.h5
39381.5,47722.9,47353.3,180.0,10.0,18,./hlsVerification/m1_b10__model_trial_1234.h/hlsCatapultModel2_20260625_123914/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_10bit_normalised_selected__model_trial_1234.h5
166083.1,182042.3,177606.5,180.0,10.0,18,./hlsVerification/m1_b10__model_trial_1235.h/hlsCatapultModel2_20260625_122149/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_10bit_normalised_selected_pareto_secondary__model_trial_1235.h5
19248.1,26059.5,25799.9,200.0,10.0,20,./hlsVerification/m1_b10__model_trial_1241.h/hlsCatapultModel2_20260625_124241/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_10bit_normalised_selected__model_trial_1241.h5
47093.2,57031.1,54301.7,180.0,10.0,18,./hlsVerification/m1_b6___model_trial_836.h/hlsCatapultModel2_20260625_123146/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_6bit_normalised_selected__model_trial_836.h5
31882.7,41211.4,40711.8,200.0,10.0,20,./hlsVerification/m1_b6___model_trial_849.h/hlsCatapultModel2_20260625_123528/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_6bit_normalised_selected__model_trial_849.h5
11052.4,15594.2,15457.7,160.0,10.0,16,./hlsVerification/m1_b8__model_trial_1028.h/hlsCatapultModel2_20260625_124755/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_8bit_normalised_selected__model_trial_1028.h5
60544.5,70897.0,68167.7,180.0,10.0,18,./hlsVerification/m1_b8__model_trial_1031.h/hlsCatapultModel2_20260625_123337/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_8bit_normalised_selected__model_trial_1031.h5
44352.2,53501.4,53028.8,180.0,10.0,18,./hlsVerification/m1_b8__model_trial_1034.h/hlsCatapultModel2_20260625_123723/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_8bit_normalised_selected__model_trial_1034.h5
13543.3,19049.9,18850.9,180.0,10.0,18,./hlsVerification/m1_b8__model_trial_1035.h/hlsCatapultModel2_20260625_124610/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_8bit_normalised_selected__model_trial_1035.h5
99433.0,113970.2,113084.4,200.0,10.0,20,./hlsVerification/m1_b8__model_trial_1042.h/hlsCatapultModel2_20260625_122351/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_8bit_normalised_selected__model_trial_1042.h5
128980.0,145286.5,140117.2,200.0,10.0,20,./hlsVerification/m1_b8__model_trial_1046.h/hlsCatapultModel2_20260716_065059/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_8bit_normalised_selected__model_trial_1046.h5
188759.4,208315.1,201890.0,200.0,10.0,20,./hlsVerification/m1_b8__model_trial_1047.h/hlsCatapultModel2_20260625_121722/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_8bit_normalised_selected__model_trial_1047.h5
80350.7,93283.7,89366.9,200.0,10.0,20,./hlsVerification/m1_b8__model_trial_1048.h/hlsCatapultModel2_20260625_122753/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_8bit_normalised_selected__model_trial_1048.h5
1098128.7,1137326.0,1126944.3,250.0,10.0,25,./hlsVerification/m2.5_b10___model_trial_020.h/hlsCatapultModel2_20260625_115246/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_10bit_normalised_selected__model_trial_020.h5
955932.3,990144.8,981778.2,250.0,10.0,25,./hlsVerification/m2.5_b10___model_trial_029.h/hlsCatapultModel2_20260625_115708/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_10bit_normalised_selected__model_trial_029.h5
