Target Clock (ns),Achieved Clock (ns),Latency (cycles),Latency (str),Interval (cycles),Post-Synth LUTs,Post-Synth FFs,Post-Synth DSPs,Post-Synth BRAMs,Verified Deterministic,hlsDirVitis,h5Path
-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,False,./hlsVerification/m1_b10__model_trial_1222.h/hlsVitisModel2_20260624_130718,./CrossParetoModels_June2026/model1_10bit_normalised_selected_pareto_secondary__model_trial_1222.h5
5.0,6.95,24,0.167 us,1,1169,1373,4,0,True,./hlsVerification/m1_b10__model_trial_1224.h/hlsVitisModel2_20260714_061640,./CrossParetoModels_June2026/model1_fin_results_model1_10bit_normalised_selected__model_trial_1224.h5
-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,False,./hlsVerification/m1_b10__model_trial_1228.h/hlsVitisModel2_20260624_131631,./CrossParetoModels_June2026/model1_fin_results_model1_10bit_normalised_selected__model_trial_1228.h5
-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,False,./hlsVerification/m1_b10__model_trial_1231.h/hlsVitisModel2_20260624_123127,./CrossParetoModels_June2026/model1_fin_results_model1_10bit_normalised_selected__model_trial_1231.h5
-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,False,./hlsVerification/m1_b10__model_trial_1232.h/hlsVitisModel2_20260624_123913,./CrossParetoModels_June2026/model1_fin_results_model1_10bit_normalised_selected__model_trial_1232.h5
-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,False,./hlsVerification/m1_b10__model_trial_1234.h/hlsVitisModel2_20260624_125712,./CrossParetoModels_June2026/model1_fin_results_model1_10bit_normalised_selected__model_trial_1234.h5
-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,False,./hlsVerification/m1_b10__model_trial_1235.h/hlsVitisModel2_20260624_122330,./CrossParetoModels_June2026/model1_10bit_normalised_selected_pareto_secondary__model_trial_1235.h5
-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,False,./hlsVerification/m1_b10__model_trial_1241.h/hlsVitisModel2_20260624_130344,./CrossParetoModels_June2026/model1_fin_results_model1_10bit_normalised_selected__model_trial_1241.h5
5.0,4.302,23,0.115 us,1,2051,1762,2,0,True,./hlsVerification/m1_b6___model_trial_836.h/hlsVitisModel2_20260714_060029,./CrossParetoModels_June2026/model1_fin_results_model1_6bit_normalised_selected__model_trial_836.h5
-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,False,./hlsVerification/m1_b6___model_trial_849.h/hlsVitisModel2_20260624_124958,./CrossParetoModels_June2026/model1_fin_results_model1_6bit_normalised_selected__model_trial_849.h5
