cota cotb p flp ylocal zglobal pt t hit_pdg
0.19943 -0.48666 0.00028 1 -0.87500 61.27500 0.00028 0.87669 13
1.89231 -1.62012 0.00081 1 -6.82500 -36.50000 0.00058 0.26324 13
-0.60674 -0.40299 0.00060 1 -5.82500 -37.75000 0.00052 0.27092 13
0.98633 0.22401 0.00059 1 -6.52500 -38.67500 0.00043 0.27654 13
-0.36620 -0.24919 0.00027 1 -6.65000 -38.87500 0.00026 0.27786 13
-0.77634 0.22774 0.00018 1 -7.20000 -38.35000 0.00014 0.28347 13
0.83968 -0.70937 0.00062 1 -1.02500 -33.00000 0.00051 0.54791 13
-0.56378 -0.92181 0.00011 1 -0.40000 -32.87500 0.00010 0.55229 13
0.46489 -0.00344 0.00119 1 2.37500 63.20000 0.00108 0.30028 13
-0.01869 -0.46441 0.00107 1 4.27500 64.27500 0.00107 0.31512 13
0.21059 0.55934 0.00107 1 2.55000 63.95000 0.00105 0.32305 13
-0.16225 1.08864 0.00087 1 4.05000 63.72500 0.00087 0.33025 13
0.04511 1.28171 0.00081 1 -7.62500 63.75000 0.00081 0.33330 13
-1.48038 -2.35042 0.00014 1 3.20000 -1.60000 0.00012 0.29247 -13
0.14831 -0.61042 0.00095 1 -5.07500 62.90000 0.00095 0.26959 13
0.14690 0.31445 0.00081 1 -3.32500 62.50000 0.00080 0.27921 13
-0.16474 -0.20975 0.00079 1 -4.72500 63.15000 0.00078 0.29034 13
0.73820 0.61728 0.00055 1 -3.47500 62.17500 0.00047 0.30116 13
-0.47206 -1.27165 0.00059 1 -3.85000 63.67500 0.00057 0.31505 13
-1.46156 -1.07947 0.00088 1 -4.52500 -63.57500 0.00062 1.80267 13
0.84566 0.14221 0.00079 1 -5.37500 -64.90000 0.00061 1.80914 13
0.41442 -1.04418 0.00020 1 -2.65000 46.40000 0.00020 0.27036 -13
0.09173 0.21627 0.00008 1 0.72500 14.67500 0.00008 0.65672 13
1.28714 0.05946 0.00009 1 2.27500 -0.02500 0.00006 0.38684 -13
0.00414 0.47718 0.00042 1 -8.02500 42.22500 0.00042 0.26512 -13
0.16470 1.08197 0.00039 1 -8.47500 41.97500 0.00039 0.27059 -13
8.38518 8.44850 0.00024 1 -1.90000 44.97500 0.00017 0.45002 13
0.24109 -1.44050 0.00013 1 -2.20000 44.85000 0.00013 0.46000 13
-0.26248 0.84278 0.00075 1 -4.55000 -50.35000 0.00074 0.26346 13
0.39467 -0.51188 0.00070 1 -5.62500 -50.97500 0.00066 0.27597 13
0.20854 0.01338 0.00013 1 -6.70000 -2.70000 0.00013 1.01860 -13
7.24575 0.11648 0.00055 1 -3.22500 -47.55000 0.00008 0.26465 -13
-1.37185 0.67510 0.00065 1 -3.25000 -47.42500 0.00043 0.26530 -13
-0.32329 0.54317 0.00012 1 -3.75000 -3.05000 0.00012 0.51277 13
0.68062 -0.96328 0.00068 1 -6.45000 -39.67500 0.00061 0.26577 -13
0.50736 -1.82175 0.00018 1 3.20000 35.25000 0.00017 0.40503 13
-0.21980 1.74124 0.00017 1 -3.20000 25.57500 0.00017 0.27378 -13
