trial_id,hp_tag,parameters,auc,primary_metric
hp4q_trial_007,hp4q,391,0.9480106694019825,0.8440894839164179
hp4q_trial_006,hp4q,265,0.9483342619652743,0.843450313084861
hp4q_trial_002,hp4q,211,0.9452101569303348,0.838253497449666
hp5q_trial_001,hp5q,205,0.9393380025374589,0.8368844503705315
hp4q_trial_008,hp4q,163,0.9452931797976465,0.8346839369778769
hp3q_trial_006,hp3q,155,0.9449033654783686,0.8277622066813608
hp3q_trial_001,hp3q,121,0.9418471349615151,0.8272188812393988
hp3q_trial_004,hp3q,91,0.9343880440263257,0.8098379094215715
hp3q_trial_002,hp3q,65,0.9241991303501219,0.738190910712612
hp4q_trial_000,hp4q,55,0.9047597470040729,0.724652825020182
hp2q_trial_002,hp2q,45,0.8617684506870918,0.5988308071874971
hp3q_trial_009,hp3q,43,0.8587095367983674,0.5911525937213711
hp3q_trial_005,hp3q,25,0.82340753744996,0.5835499681019287
hp2q_trial_008,hp2q,19,0.8116697974599648,0.5621670733292817
