trial_id,hp_tag,parameters,auc,primary_metric
hp5q_trial_002,hp5q,337,0.9484628475742566,0.8426744794264999
hp5q_trial_003,hp5q,267,0.946192296362065,0.8416676493086734
hp3q_trial_000,hp3q,235,0.9450846418917919,0.8317792472055173
hp2q_trial_009,hp2q,199,0.9448325796462859,0.8267221179109938
hp5q_trial_000,hp5q,151,0.9367825873353347,0.8244287826426115
hp4q_trial_005,hp4q,121,0.9335349256562719,0.8112432386671142
hp2q_trial_005,hp2q,99,0.9050811717472034,0.7324271862272895
hp2q_trial_006,hp2q,79,0.9044368431625038,0.730858889584297
hp5q_trial_006,hp5q,67,0.8578372973937148,0.7185311164929657
hp2q_trial_004,hp2q,61,0.8907346645635281,0.7105638551011214
hp5q_trial_007,hp5q,37,0.812378659139346,0.5690764072189417
hp2q_trial_007,hp2q,31,0.8368847299720428,0.42920956276965955
