trial_id,parameters,auc,primary_metric
063,8833,0.9764015364376287,0.9098493987742675
077,8185,0.97645304169985,0.9094980664628818
065,5141,0.9752097482998409,0.9057700738644437
099,5139,0.9753158525276328,0.905374295899208
043,3975,0.9737060779477675,0.9006908729186887
049,3111,0.9697417748101734,0.8897451480161214
027,2957,0.9719683136016197,0.8892656187167602
087,2637,0.9709529842213148,0.8860464835021965
075,2271,0.9667477536480951,0.8780898044088878
029,1281,0.9660359776425481,0.875212628612721
088,533,0.957596956187444,0.8649780341717537
033,489,0.956192880317804,0.8600149361585047
051,391,0.9520147470303766,0.8536072032194375
031,377,0.912897693290551,0.7608315872540748
