trial_id,parameters,auc,primary_metric
009,71025,0.9812018966629877,0.9276636401292854
019,59073,0.9809106448451264,0.927036261001811
033,46735,0.9813372433117635,0.9269945365104417
081,46233,0.9811100321195049,0.9263535515705643
110,39201,0.9804457926308513,0.9252829253101369
075,23473,0.9806610836781257,0.9244085250997004
090,16901,0.9798901241902136,0.9233058495922792
088,15773,0.9792670040047348,0.9211645970714244
100,11225,0.9788848561997358,0.9205254262398674
073,9839,0.9782038506990685,0.9176778808796006
096,9803,0.9757931570398131,0.9097762297386778
104,4065,0.9742640950118453,0.9094935311920808
072,3095,0.9739520274600296,0.9058111936530397
051,2373,0.9715274464899705,0.9037923934438126
108,1211,0.9663873592438073,0.8780761985964849
