trial_id,parameters,auc,primary_metric
031,58069,0.9798113535777906,0.9231117400019955
081,41713,0.9796765812477325,0.9227002397646497
091,40721,0.9791515178117944,0.9210240036765929
001,37923,0.9788230609656474,0.9202300289350278
089,37467,0.9784355764380391,0.9196325825948402
004,22513,0.9781726661192109,0.918576469200976
082,21363,0.976467043733616,0.9143381074617298
056,15467,0.976398101015351,0.9139586564713779
069,11745,0.9765924190239681,0.9139465624159084
049,11729,0.9756540714298744,0.9123812892867833
055,9537,0.9734062340706795,0.9076361866233699
015,9443,0.9728630740210259,0.9060464230319193
093,7215,0.9720706346638672,0.9055850348157621
098,3191,0.9695915545823287,0.8942837446823949
058,2403,0.9679245826639541,0.8938982466643084
085,2287,0.9670707806320732,0.8873535485470504
