trial_id,parameters,auc,primary_metric
101,15349,0.9613163402168605,0.8714831242573494
134,13923,0.9579205797911612,0.865529220749771
118,9901,0.9581779484501822,0.8635155605141184
130,7913,0.955255269827542,0.8623312501322787
022,5337,0.9538337123843224,0.854488557511769
147,3773,0.9512424794611833,0.8526547963512234
005,3261,0.9522487062721638,0.8475952482456061
039,3225,0.948832565423509,0.8462645997925871
108,2271,0.9477861268727027,0.8456846898328301
081,1683,0.9464502788453839,0.8453300316561901
021,1599,0.9446128119306685,0.8370069026821592
065,1545,0.9365339912462869,0.8264781203418989
079,1523,0.9463287690181557,0.8262691955336653
070,1489,0.9361850711722446,0.8194678010890697
110,489,0.9241645117557983,0.78793043499294
048,433,0.898886417261901,0.717409695199567
071,363,0.8951028896354924,0.7056373416056673
