model_name,val_accuracy,h5_file,output_dir,tarball,luts,luts_used,luts_available,luts_percent,registers,registers_used,registers_available,registers_percent,bram,bram_used,bram_available,bram_percent,dsp,dsp_used,dsp_available,dsp_percent,latency_min,latency_max,interval_min,interval_max,estimated_fmax
model_trial_003,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_003.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_003,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_003.tar.gz,142796,142796,53200,268.41,98082,98082,106400,92.18,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_005,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_005.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_005,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_005.tar.gz,149257,149257,53200,280.56,104913,104913,106400,98.6,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_021,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_021.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_021,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_021.tar.gz,71705,71705,53200,134.78,51950,51950,106400,48.83,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_026,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_026.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_026,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_026.tar.gz,76069,76069,53200,142.99,55875,55875,106400,52.51,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_022,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_022.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_022,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_022.tar.gz,246784,246784,53200,463.88,172935,172935,106400,162.53,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_029,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_029.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_029,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_029.tar.gz,28442,28442,53200,53.46,24075,24075,106400,22.63,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_006,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_006.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_006,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_006.tar.gz,345913,345913,53200,650.21,244312,244312,106400,229.62,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_036,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_036.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_036,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_036.tar.gz,9659,9659,53200,18.16,10152,10152,106400,9.54,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_000,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_000.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_000,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_000.tar.gz,394021,394021,53200,740.64,281212,281212,106400,264.3,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_039,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_039.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_039,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_039.tar.gz,156263,156263,53200,293.73,106319,106319,106400,99.92,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_055,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_055.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_055,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_055.tar.gz,13799,13799,53200,25.94,13239,13239,106400,12.44,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_031,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_031.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_031,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_031.tar.gz,223543,223543,53200,420.19,157927,157927,106400,148.43,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_064,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_064.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_064,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_064.tar.gz,33439,33439,53200,62.86,26262,26262,106400,24.68,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_065,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_065.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_065,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_065.tar.gz,69168,69168,53200,130.02,49657,49657,106400,46.67,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_058,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_058.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_058,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_058.tar.gz,252658,252658,53200,474.92,176261,176261,106400,165.66,0,0,140,0.0,220,220,220,100.0,,,,,143.88
