model_name,val_accuracy,h5_file,output_dir,tarball,luts,luts_used,luts_available,luts_percent,registers,registers_used,registers_available,registers_percent,bram,bram_used,bram_available,bram_percent,dsp,dsp_used,dsp_available,dsp_percent,latency_min,latency_max,interval_min,interval_max,estimated_fmax
model_trial_0,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/model_trial_0.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/hls_outputs/hls_model_trial_0,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/hls_outputs/hls_model_trial_0.tar.gz,7933,7933,53200,14.91,9681,9681,106400,9.1,0,0,140,0.0,131,131,220,59.55,,,,,230.83
model_trial_006,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/model_trial_006.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/hls_outputs/hls_model_trial_006,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/hls_outputs/hls_model_trial_006.tar.gz,28672,28672,53200,53.89,26835,26835,106400,25.22,0,0,140,0.0,220,220,220,100.0,,,,,229.26
model_trial_003,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/model_trial_003.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/hls_outputs/hls_model_trial_003,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/hls_outputs/hls_model_trial_003.tar.gz,54118,54118,53200,101.73,50628,50628,106400,47.58,0,0,140,0.0,220,220,220,100.0,,,,,229.26
model_trial_013,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/model_trial_013.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/hls_outputs/hls_model_trial_013,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/hls_outputs/hls_model_trial_013.tar.gz,42831,42831,53200,80.51,39465,39465,106400,37.09,0,0,140,0.0,220,220,220,100.0,,,,,229.26
model_trial_007,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/model_trial_007.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/hls_outputs/hls_model_trial_007,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/hls_outputs/hls_model_trial_007.tar.gz,97739,97739,53200,183.72,86490,86490,106400,81.29,0,0,140,0.0,220,220,220,100.0,,,,,229.26
model_trial_008,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/model_trial_008.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/hls_outputs/hls_model_trial_008,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/hls_outputs/hls_model_trial_008.tar.gz,91622,91622,53200,172.22,85160,85160,106400,80.04,0,0,140,0.0,220,220,220,100.0,,,,,229.26
model_trial_022,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/model_trial_022.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/hls_outputs/hls_model_trial_022,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/hls_outputs/hls_model_trial_022.tar.gz,42773,42773,53200,80.4,40288,40288,106400,37.86,0,0,140,0.0,220,220,220,100.0,,,,,229.26
model_trial_017,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/model_trial_017.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/hls_outputs/hls_model_trial_017,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/hls_outputs/hls_model_trial_017.tar.gz,68483,68483,53200,128.73,63868,63868,106400,60.03,0,0,140,0.0,220,220,220,100.0,,,,,229.26
model_trial_014,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/model_trial_014.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/hls_outputs/hls_model_trial_014,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/hls_outputs/hls_model_trial_014.tar.gz,105063,105063,53200,197.49,95143,95143,106400,89.42,0,0,140,0.0,220,220,220,100.0,,,,,229.26
model_trial_049,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/model_trial_049.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/hls_outputs/hls_model_trial_049,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_8_bit/hls_outputs/hls_model_trial_049.tar.gz,7658,7658,53200,14.39,8787,8787,106400,8.26,0,0,140,0.0,116,116,220,52.73,,,,,229.26
