run_name,trial_id,global_id,parameters,auc,primary_metric,luts,registers,luts_plus_ff,luts_percent,registers_percent,dsp,dsp_percent,estimated_fmax
model1_8bit,501,model1_8bit_501,415,0.9481562188891208,0.8424344124254326,9473,8187,17660,17.81,7.69,8,3.64,230.83
model1_8bit,403,model1_8bit_403,265,0.9474443399258974,0.8415022631001297,6142,5229,11371,11.55,4.91,14,6.36,238.27
model1_8bit,304,model1_8bit_304,155,0.9477502033418204,0.8398100023885758,3352,3043,6395,6.3,2.86,4,1.82,238.27
model1_8bit,504,model1_8bit_504,151,0.942616178426491,0.8359344623134115,3321,2690,6011,6.24,2.53,8,3.64,238.27
model1_8bit,406,model1_8bit_406,85,0.9409371870209728,0.8348886288666962,1784,1662,3446,3.35,1.56,3,1.36,229.26
model1_8bit,303,model1_8bit_303,65,0.9386913974613986,0.8163599311848243,1283,1153,2436,2.41,1.08,2,0.91,229.26
model1_8bit,507,model1_8bit_507,67,0.9360521582006912,0.8018349705660924,1395,1112,2507,2.62,1.05,3,1.36,229.26
model1_8bit,305,model1_8bit_305,43,0.9264776057016102,0.7927021445783862,885,897,1782,1.66,0.84,4,1.82,238.27
model1_8bit,404,model1_8bit_404,31,0.8478111893911907,0.6329085296349711,626,629,1255,1.18,0.59,2,0.91,229.26
model1_4bit,438,model1_4bit_438,43,0.8389477200302018,0.5057628174311621,574,572,1146,1.08,0.54,0,0.0,235.68
model1_4bit,427,model1_4bit_427,31,0.8362945727620267,0.4506036445436157,518,538,1056,0.97,0.51,0,0.0,235.68
model1_4bit,428,model1_4bit_428,19,0.8234921660593663,0.377924418200344,360,374,734,0.68,0.35,0,0.0,235.68
