trial_id,parameters,auc,primary_metric,bkg_rej_@95%,bkg_rej_@98%,bkg_rej_@99%,model_name,val_accuracy,h5_file,output_dir,tarball,luts,luts_used,luts_available,luts_percent,registers,registers_used,registers_available,registers_percent,bram,bram_used,bram_available,bram_percent,dsp,dsp_used,dsp_available,dsp_percent,latency_min,latency_max,interval_min,interval_max,estimated_fmax,run_name,global_id,luts_plus_ff
098,17739,0.9722561382932382,0.9007047810824784,0.923432534823321,0.9036406130476716,0.8790654923338805,model_trial_098,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_098.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_098,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_098.tar.gz,687188,687188,53200,1291.71,499105,499105,106400,469.08,0,0,140,0.0,220,220,220,100.0,,,,,143.88,model2_5_10bit,model2_5_10bit_098,1186293
027,12407,0.9722950632655072,0.8982732712303585,0.9226161860791374,0.9008952624561212,0.8769248445157993,model_trial_027,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_027.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_027,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_027.tar.gz,524689,524689,53200,986.26,385422,385422,106400,362.24,0,0,140,0.0,220,220,220,100.0,,,,,143.88,model2_5_10bit,model2_5_10bit_027,910111
101,15349,0.9716807803499312,0.8975449067397148,0.9216547086693212,0.9009224740809274,0.8736685200806673,model_trial_101,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_101.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_101,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_101.tar.gz,615984,615984,53200,1157.86,457779,457779,106400,430.24,0,0,140,0.0,220,220,220,100.0,,,,,143.88,model2_5_10bit,model2_5_10bit_101,1073763
000,9175,0.9712237965978184,0.8961172034915539,0.920753701536852,0.8991809300933359,0.8730759113626675,model_trial_000,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_000.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_000,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_000.tar.gz,394021,394021,53200,740.64,281212,281212,106400,264.3,0,0,140,0.0,220,220,220,100.0,,,,,143.88,model2_5_10bit,model2_5_10bit_000,675233
075,10363,0.9698129652922074,0.8954320752492131,0.9201580693049848,0.8985308746118564,0.8722232804520758,model_trial_075,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_075.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_075,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_075.tar.gz,445501,445501,53200,837.41,321870,321870,106400,302.51,0,0,140,0.0,220,220,220,100.0,,,,,143.88,model2_5_10bit,model2_5_10bit_075,767371
022,5337,0.9706170070219378,0.8953359275082315,0.919985729014546,0.8989269549284787,0.8704424307842088,model_trial_022,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_022.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_022,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_022.tar.gz,246784,246784,53200,463.88,172935,172935,106400,162.53,0,0,140,0.0,220,220,220,100.0,,,,,143.88,model2_5_10bit,model2_5_10bit_022,419719
006,7729,0.9711336559017976,0.8947034084071827,0.9202215630961992,0.8977598785756831,0.8712466854729229,model_trial_006,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_006.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_006,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_006.tar.gz,345913,345913,53200,650.21,244312,244312,106400,229.62,0,0,140,0.0,220,220,220,100.0,,,,,143.88,model2_5_10bit,model2_5_10bit_006,590225
052,7557,0.9704151701776024,0.8923505099156137,0.9182018558328118,0.895576901563459,0.8681324661895562,model_trial_052,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_052.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_052,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_052.tar.gz,337061,337061,53200,633.57,238699,238699,106400,224.34,0,0,140,0.0,220,220,220,100.0,,,,,143.88,model2_5_10bit,model2_5_10bit_052,575760
068,4823,0.9695737092036276,0.890030265373812,0.9167324280932816,0.8931459964141125,0.865774125373026,model_trial_068,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_068.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_068,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_068.tar.gz,223291,223291,53200,419.72,156882,156882,106400,147.45,0,0,140,0.0,220,220,220,100.0,,,,,143.88,model2_5_10bit,model2_5_10bit_068,380173
058,5463,0.9695931943175968,0.8894228414378622,0.9173462014083528,0.8927347985281534,0.8638693116365979,model_trial_058,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_058.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_058,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_058.tar.gz,252658,252658,53200,474.92,176261,176261,106400,165.66,0,0,140,0.0,220,220,220,100.0,,,,,143.88,model2_5_10bit,model2_5_10bit_058,428919
