run_name,trial_id,global_id,parameters,auc,primary_metric,luts,registers,luts_plus_ff,luts_percent,registers_percent,dsp,dsp_percent,estimated_fmax
model2_5_10bit,098,model2_5_10bit_098,17739,0.9722561382932382,0.9007047810824784,687188,499105,1186293,1291.71,469.08,220,100.0,143.88
model2_5_10bit,027,model2_5_10bit_027,12407,0.9722950632655072,0.8982732712303585,524689,385422,910111,986.26,362.24,220,100.0,143.88
model2_5_10bit,000,model2_5_10bit_000,9175,0.9712237965978184,0.8961172034915539,394021,281212,675233,740.64,264.3,220,100.0,143.88
model2_5_10bit,022,model2_5_10bit_022,5337,0.9706170070219378,0.8953359275082315,246784,172935,419719,463.88,162.53,220,100.0,143.88
model2_5_6bit_new,134,model2_5_6bit_new_134,13923,0.9698922212066664,0.8922969937201617,174665,199137,373802,328.32,187.16,220,100.0,232.43
model2_5_10bit,068,model2_5_10bit_068,4823,0.9695737092036276,0.890030265373812,223291,156882,380173,419.72,147.45,220,100.0,143.88
model2_5_6bit_new,118,model2_5_6bit_new_118,9901,0.968136062686548,0.8882463921920778,126061,150611,276672,236.96,141.55,169,76.82,232.43
model2_5_6bit_new,000,model2_5_6bit_new_000,9175,0.9674674365655256,0.8872815889170075,120797,137758,258555,227.06,129.47,153,69.55,232.43
model2_5_10bit,039,model2_5_10bit_039,3225,0.9683458172893183,0.8868836944920647,156263,106319,262582,293.73,99.92,220,100.0,143.88
eric_model_2_5_8bit,076,eric_model_2_5_8bit_076,3759,0.9644068629487748,0.8856718701340323,107249,97824,205073,201.6,91.94,220,100.0,229.26
model2_5_6bit_new,068,model2_5_6bit_new_068,4823,0.96555408284063,0.8819611115646382,70518,85352,155870,132.55,80.22,185,84.09,232.43
model2_5_6bit_new,140,model2_5_6bit_new_140,4855,0.9623830080793776,0.8805104296110854,70563,83398,153961,132.64,78.38,144,65.45,232.43
eric_model_2_5_8bit,096,eric_model_2_5_8bit_096,2317,0.9655130250652368,0.8769172857311309,65126,59993,125119,122.42,56.38,220,100.0,229.26
model2_5_6bit_new,157,model2_5_6bit_new_157,3291,0.9612533587137922,0.8767138032478585,53292,61302,114594,100.17,57.61,180,81.82,232.43
model2_5_10bit,081,model2_5_10bit_081,1683,0.9646937402789308,0.874379952893654,77755,55570,133325,146.16,52.23,220,100.0,143.88
model2_5_10bit,026,model2_5_10bit_026,1727,0.964854876132218,0.8728627536350195,76069,55875,131944,142.99,52.51,220,100.0,143.88
model2_5_6bit_new,005,model2_5_6bit_new_005,3261,0.9621488954135118,0.8721138292500779,52602,61744,114346,98.88,58.03,163,74.09,232.43
model2_5_6bit_new,092,model2_5_6bit_new_092,3321,0.9582918344088638,0.8716802573615003,52835,60858,113693,99.31,57.2,107,48.64,232.43
model2_5_6bit_new,003,model2_5_6bit_new_003,2905,0.9590681490443528,0.8708977719726312,49278,54215,103493,92.63,50.95,141,64.09,232.43
eric_model_2_5_8bit,003,eric_model_2_5_8bit_003,1829,0.9622594649283094,0.8702676716826763,54118,50628,104746,101.73,47.58,220,100.0,229.26
