trial_id,parameters,auc,primary_metric
101,15349,0.9716807803499311,0.8975449067397148
075,10363,0.9698129652922074,0.8954320752492131
006,7729,0.9711336559017976,0.8947034084071827
052,7557,0.9704151701776023,0.8923505099156137
058,5463,0.9695931943175968,0.8894228414378622
031,4939,0.9681399670976123,0.8870992710308067
109,4609,0.9665978990811236,0.8858560021285538
103,3703,0.9672889092111994,0.8845613334905561
005,3261,0.9654868404621098,0.8814927692665863
026,1727,0.9648548761322181,0.8728627536350195
021,1599,0.957248915296542,0.8597476575326313
070,1489,0.9591467429718037,0.8498541154559005
055,489,0.9419043743378381,0.8140593394831606
096,419,0.9297897580490211,0.8049358863884429
071,363,0.47757211429301893,0.019617767376890093
