trial_id,hp_tag,parameters,auc,primary_metric
hp4q_trial_006,hp4q,463,0.9056834153017189,0.728724893496724
hp5q_trial_002,hp5q,595,0.884111751993619,0.6992625649677543
hp3q_trial_003,hp3q,281,0.890163563619619,0.6760667712802464
hp3q_trial_008,hp3q,331,0.8969978562300481,0.6747276569883988
hp3q_trial_006,hp3q,91,0.8597348010573974,0.6427044122137866
hp4q_trial_007,hp4q,325,0.862589287960891,0.6338494471504892
hp3q_trial_000,hp3q,155,0.8526639868594303,0.633463646781016
hp2q_trial_004,hp2q,61,0.8647715726175921,0.6208646644957837
hp2q_trial_005,hp2q,99,0.8606186053310594,0.6202403088821767
hp2q_trial_006,hp2q,79,0.8517750726260135,0.5934483478008472
hp4q_trial_004,hp4q,31,0.7529683139420451,0.5251408201583716
hp4q_trial_008,hp4q,55,0.8371103277980824,0.5064137799668018
hp2q_trial_007,hp2q,31,0.8398083225480358,0.482230204298832
hp2q_trial_008,hp2q,19,0.8311355457461963,0.3314381948412807
hp3q_trial_004,hp3q,25,0.5,0.0
