trial_id,hp_tag,parameters,auc,primary_metric
hp4q_trial_005,hp4q,463,0.9353190089265165,0.794678010890697
hp4q_trial_008,hp4q,211,0.934858840511775,0.7929177211171279
hp3q_trial_001,hp3q,193,0.9200855602150756,0.7715946919190545
hp4q_trial_006,hp4q,121,0.9123092667796532,0.714606897844537
hp3q_trial_007,hp3q,91,0.887792023784351,0.6945978877732122
hp4q_trial_009,hp4q,85,0.8405670320104542,0.5956694210877997
hp4q_trial_002,hp4q,55,0.8161392349696828,0.5613727962363299
hp2q_trial_002,hp2q,45,0.8217202626205626,0.436693666645502
hp5q_trial_005,hp5q,37,0.7815369484700827,0.4310263922525481
hp2q_trial_007,hp2q,31,0.8296201966523233,0.42745834353769263
hp2q_trial_008,hp2q,19,0.8235910679074565,0.32136203252696216
