trial_id,parameters,auc,primary_metric
114,59083,0.9808090718155367,0.9116801364209457
095,57553,0.9805389735653626,0.9116015250603947
081,46233,0.9794424770881589,0.9080942489742729
059,39201,0.9794256224479834,0.906392010666957
016,23979,0.9791697439670641,0.9044781263889267
090,16901,0.9787330895818689,0.9026277359021108
099,15541,0.9776071490648972,0.8991083657605196
085,12081,0.976585197236573,0.8968256127906731
074,10115,0.9764809151699687,0.8965293084316731
073,9839,0.9750355225241012,0.8915193459534803
112,5549,0.9730575499422651,0.8860739974783894
034,5257,0.9715951124736244,0.8813663863869312
082,4257,0.9701711743655299,0.8778863219256156
097,3909,0.970109428030053,0.8698709866632803
011,3331,0.9638442241614431,0.8439564493062548
062,1433,0.9550835839274114,0.7925264784226933
