model,run_name,trial_id,parameters,auc,bkg_rej_@99%,luts,registers,luts_plus_ff,dsp,bram,hls_source,fullPath
model3,model3_10bit,110,39201.0,0.9815186694103368,0.9151692714238634,1149526,804674,1954200,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model3_fin_results/model3_10bit_normalised_selected/pareto_primary/finishedTrials/model_trial_110.h5
model3,model3_10bit,046,14241.0,0.9782765350112878,0.9047986188588654,384387,263349,647736,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model3_fin_results/model3_10bit_normalised_selected/pareto_primary/finishedTrials/model_trial_046.h5
model2_5,model25_8bit,063,8833.0,0.9764015364376288,0.8928648096244494,185494,96147,281641,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model2.5_fin_results/model2_5_8bit_normalised_selected/pareto_secondary/model_trial_063.h5
model2_5,model25_10bit,087,2637.0,0.971225250748732,0.8707205940600047,91727,50035,141762,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model2.5_fin_results/model2_5_10bit_normalised_selected/pareto_primary/model_trial_087.h5
model2_5,model25_10bit,057,711.0,0.9563345365466742,0.8460910500966012,41792,28243,70035,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model2.5_fin_results/model2_5_10bit_normalised_selected/pareto_primary/model_trial_057.h5
model2_5,model25_8bit,051,391.0,0.9520147470303766,0.8280830015026864,32688,23899,56587,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model2.5_fin_results/model2_5_8bit_normalised_selected/pareto_primary/model_trial_051.h5
model1,model1_8w10i,1046,265.0,0.9483342619652744,0.8197864794506879,16872,11902,28774,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1046.h5
model1,model1_6w8i,836,121.0,0.9388993287785602,0.7975938876643658,10259,7398,17657,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_primary/model_trial_836.h5
model1,model1_10w12i,1224,61.0,0.8907899117945108,0.6890164811740909,6491,4857,11348,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_primary/model_trial_1224.h5
model1,model1_8w10i,1028,19.0,0.8116697974599648,0.5298526641692443,4400,3081,7481,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1028.h5
