model,run_name,trial_id,parameters,auc,bkg_rej_@99%,luts,registers,luts_plus_ff,dsp,bram,hls_source,fullPath
model1,model1_3w5i,hp4q_trial_006,463.0,0.9056834153017188,0.693058919214733,8081,7545,15626,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/3w0i_i5_sigmoid/hp4q_model_trial_006.h5
model1,model1_3w5i,hp5q_trial_002,595.0,0.884111751993619,0.6621072077547083,10193,9311,19504,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/3w0i_i5_sigmoid/hp5q_model_trial_002.h5
model1,model1_3w5i,hp3q_trial_003,281.0,0.890163563619619,0.6221454249699916,6291,5890,12181,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/3w0i_i5_sigmoid/hp3q_model_trial_003.h5
model1,model1_3w5i,hp3q_trial_008,331.0,0.8969978562300481,0.6411421625985287,6253,5807,12060,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/3w0i_i5_sigmoid/hp3q_model_trial_008.h5
model1,model1_3w5i,hp3q_trial_006,91.0,0.8597348010573974,0.5955112913125375,3478,3187,6665,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/3w0i_i5_sigmoid/hp3q_model_trial_006.h5
model1,model1_3w5i,hp4q_trial_007,325.0,0.862589287960891,0.5831572136505604,6712,6266,12978,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/3w0i_i5_sigmoid/hp4q_model_trial_007.h5
model1,model1_3w5i,hp3q_trial_000,155.0,0.8526639868594303,0.6046362561641889,4135,3846,7981,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/3w0i_i5_sigmoid/hp3q_model_trial_000.h5
model1,model1_3w5i,hp2q_trial_004,61.0,0.8647715726175921,0.5957047962000478,2514,2305,4819,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/3w0i_i5_sigmoid/hp2q_model_trial_004.h5
model1,model1_3w5i,hp2q_trial_005,99.0,0.8606186053310594,0.5994932590758327,2892,2754,5646,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/3w0i_i5_sigmoid/hp2q_model_trial_005.h5
model1,model1_3w5i,hp2q_trial_006,79.0,0.8517750726260135,0.5597400987479629,2819,2532,5351,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/3w0i_i5_sigmoid/hp2q_model_trial_006.h5
