model,run_name,trial_id,parameters,auc,bkg_rej_@99%,luts,registers,luts_plus_ff,dsp,bram,hls_source,fullPath
model3,model3_10bit,084,49505.0,0.9813564181860284,0.9158495620440164,8251058,1767138,10018196,9,114060,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model3_fin_results/model3_10bit_normalised_selected/pareto_primary/model_trial_084.h5
model3,model3_8bit,009,71025.0,0.9812018966629876,0.915574422282088,1401167,1346691,2747858,4,71808,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model3_fin_results/model3_8bit_normalised_selected/pareto_primary/model_trial_009.h5
model3,model3_10bit,110,39201.0,0.9815186694103368,0.9151692714238634,1033889,1022149,2056038,5,52056,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model3_fin_results/model3_10bit_normalised_selected/pareto_primary/model_trial_110.h5
model3,model3_8bit,019,59073.0,0.9809106448451264,0.9145706156781288,988392,946870,1935262,8,54080,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model3_fin_results/model3_8bit_normalised_selected/pareto_primary/model_trial_019.h5
model3,model3_10bit,016,23979.0,0.9805583842801264,0.9103165316667724,810104,744784,1554888,5,13674,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model3_fin_results/model3_10bit_normalised_selected/pareto_primary/model_trial_016.h5
model3,model3_10bit,090,16901.0,0.97998228080897,0.9099174278362828,722972,656281,1379253,5,4864,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model3_fin_results/model3_10bit_normalised_selected/pareto_primary/model_trial_090.h5
model3,model3_10bit,088,15773.0,0.9798013939023776,0.9072265004943444,428206,411621,839827,5,4568,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model3_fin_results/model3_10bit_normalised_selected/pareto_primary/model_trial_088.h5
model3,model3_8bit,100,11225.0,0.9788848561997358,0.9061198944188956,366807,332258,699065,4,2580,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model3_fin_results/model3_8bit_normalised_selected/pareto_primary/model_trial_100.h5
model3,model3_6bit,056,15217.0,0.9777427377933388,0.8997916798945398,350980,300477,651457,4,2584,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model3_fin_results/model3_6bit_normalised_selected/pareto_primary/model_trial_056.h5
model2_5,model25_8bit,077,8185.0,0.97645304169985,0.8930371499148881,144857,160153,305010,481,1132,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model2.5_fin_results/model2.5_8bit_normalised_selected/model_trial_077.h5
model2_5,model25_8bit,063,8833.0,0.9764015364376288,0.8928648096244494,129556,138795,268351,402,856,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model2.5_fin_results/model2.5_8bit_normalised_selected/model_trial_063.h5
