model,run_name,trial_id,parameters,auc,bkg_rej_@99%,luts,registers,luts_plus_ff,dsp,bram,hls_source,fullPath
model1,model1_3w5i,546,463.0,0.9056834153017188,0.693058919214733,21859,16861,38720,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_primary/model_trial_546.h5
model1,model1_3w5i,552,595.0,0.884111751993619,0.6621072077547083,26538,20589,47127,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_secondary/model_trial_552.h5
model1,model1_3w5i,538,331.0,0.8969978562300481,0.6411421625985287,17180,13133,30313,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_primary/model_trial_538.h5
model1,model1_3w5i,557,501.0,0.8812723383819475,0.630974085462643,24599,18552,43151,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_secondary/model_trial_557.h5
model1,model1_3w5i,533,281.0,0.890163563619619,0.6221454249699916,15559,11714,27273,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_primary/model_trial_533.h5
model1,model1_3w5i,559,415.0,0.85825384142731,0.6108102714813102,21730,16922,38652,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_secondary/model_trial_559.h5
model1,model1_3w5i,530,155.0,0.8526639868594303,0.6046362561641889,11808,8972,20780,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_primary/model_trial_530.h5
model1,model1_3w5i,525,99.0,0.8606186053310594,0.5994932590758327,8830,6620,15450,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_primary/model_trial_525.h5
model1,model1_3w5i,542,391.0,0.857602516606803,0.5967509319981497,20079,15133,35212,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_secondary/model_trial_542.h5
model1,model1_3w5i,524,61.0,0.8647715726175921,0.5957047962000478,6599,4906,11505,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_primary/model_trial_524.h5
