run_name,trial_id,global_id,parameters,auc,primary_metric,luts,registers,luts_plus_ff,luts_percent,registers_percent,dsp,dsp_percent,estimated_fmax
model2_5_10bit,98,model2_5_10bit_098,17739,0.9722561382932382,0.9007047810824784,687188,499105,1186293,1291.71,469.08,220,100.0,143.88
model2_5_10bit,27,model2_5_10bit_027,12407,0.9722950632655072,0.8982732712303585,524689,385422,910111,986.26,362.24,220,100.0,143.88
model2_5_10bit,0,model2_5_10bit_000,9175,0.9712237965978184,0.8961172034915539,394021,281212,675233,740.64,264.3,220,100.0,143.88
model2_5_10bit,22,model2_5_10bit_022,5337,0.9706170070219378,0.8953359275082315,246784,172935,419719,463.88,162.53,220,100.0,143.88
model2_5_6bit_new,134,model2_5_6bit_new_134,13923,0.9698922212066664,0.8922969937201617,174665,199137,373802,328.32,187.16,220,100.0,232.43
model2_5_6bit_new,118,model2_5_6bit_new_118,9901,0.968136062686548,0.8882463921920778,126061,150611,276672,236.96,141.55,169,76.82,232.43
model2_5_6bit_new,0,model2_5_6bit_new_000,9175,0.9674674365655256,0.8872815889170075,120797,137758,258555,227.06,129.47,153,69.55,232.43
eric_model_2_5_8bit,76,eric_model_2_5_8bit_076,3759,0.9644068629487748,0.8856718701340323,107249,97824,205073,201.6,91.94,220,100.0,229.26
model2_5_6bit_new,68,model2_5_6bit_new_068,4823,0.96555408284063,0.8819611115646382,70518,85352,155870,132.55,80.22,185,84.09,232.43
model2_5_6bit_new,140,model2_5_6bit_new_140,4855,0.9623830080793776,0.8805104296110854,70563,83398,153961,132.64,78.38,144,65.45,232.43
eric_model_2_5_8bit,96,eric_model_2_5_8bit_096,2317,0.9655130250652368,0.8769172857311309,65126,59993,125119,122.42,56.38,220,100.0,229.26
model2_5_6bit_new,157,model2_5_6bit_new_157,3291,0.9612533587137922,0.8767138032478585,53292,61302,114594,100.17,57.61,180,81.82,232.43
model2_5_6bit_new,5,model2_5_6bit_new_005,3261,0.9621488954135118,0.8721138292500779,52602,61744,114346,98.88,58.03,163,74.09,232.43
model2_5_6bit_new,92,model2_5_6bit_new_092,3321,0.9582918344088638,0.8716802573615003,52835,60858,113693,99.31,57.2,107,48.64,232.43
model2_5_6bit_new,3,model2_5_6bit_new_003,2905,0.9590681490443528,0.8708977719726312,49278,54215,103493,92.63,50.95,141,64.09,232.43
model2_5_6bit_new,108,model2_5_6bit_new_108,2271,0.9593861849829788,0.8665544943021881,39163,44650,83813,73.61,41.96,103,46.82,232.43
model2_5_6bit_new,153,model2_5_6bit_new_153,1981,0.961219207247932,0.8655515947523893,34652,40790,75442,65.14,38.34,128,58.18,232.43
model2_5_6bit_new,127,model2_5_6bit_new_127,1897,0.9554192770001676,0.8611227516395004,33930,38693,72623,63.78,36.37,140,63.64,232.43
eric_model_2_5_8bit,68,eric_model_2_5_8bit_068,1339,0.9578604389281004,0.8608633341496821,35696,34282,69978,67.1,32.22,220,100.0,229.26
model2_5_6bit_new,81,model2_5_6bit_new_081,1683,0.9565474709852896,0.8604170635028618,30173,35166,65339,56.72,33.05,127,57.73,232.43
model2_5_6bit_new,21,model2_5_6bit_new_021,1599,0.9552511196801576,0.8574945349986847,29085,32856,61941,54.67,30.88,114,51.82,232.43
eric_model_2_5_8bit,59,eric_model_2_5_8bit_059,885,0.9431348588292886,0.8549617374320087,21460,22241,43701,40.34,20.9,220,100.0,229.26
model2_5_6bit_new,64,model2_5_6bit_new_064,863,0.9489267426866562,0.8503076425360024,16673,19432,36105,31.34,18.26,69,31.36,232.43
model2_5_10bit,110,model2_5_10bit_110,489,0.9530093835631704,0.8459011734257318,12977,13083,26060,24.39,12.3,220,100.0,143.88
model1_8bit,501,model1_8bit_501,415,0.9481562188891208,0.8424344124254326,9473,8187,17660,17.81,7.69,8,3.64,230.83
model1_8bit,403,model1_8bit_403,265,0.9474443399258974,0.8415022631001297,6142,5229,11371,11.55,4.91,14,6.36,238.27
model1_8bit,304,model1_8bit_304,155,0.9477502033418204,0.8398100023885758,3352,3043,6395,6.3,2.86,4,1.82,238.27
model1_8bit,504,model1_8bit_504,151,0.942616178426491,0.8359344623134115,3321,2690,6011,6.24,2.53,8,3.64,238.27
model1_8bit,406,model1_8bit_406,85,0.9409371870209728,0.8348886288666962,1784,1662,3446,3.35,1.56,3,1.36,229.26
model1_8bit,303,model1_8bit_303,65,0.9386913974613986,0.8163599311848243,1283,1153,2436,2.41,1.08,2,0.91,229.26
model1_8bit,305,model1_8bit_305,43,0.9264776057016102,0.7927021445783862,885,897,1782,1.66,0.84,4,1.82,238.27
model1_8bit,404,model1_8bit_404,31,0.8478111893911907,0.6329085296349711,626,629,1255,1.18,0.59,2,0.91,229.26
model1_4bit,438,model1_4bit_438,43,0.8389477200302018,0.5057628174311621,574,572,1146,1.08,0.54,0,0.0,235.68
model1_4bit,427,model1_4bit_427,31,0.8362945727620267,0.4506036445436157,518,538,1056,0.97,0.51,0,0.0,235.68
model1_4bit,428,model1_4bit_428,19,0.8234921660593663,0.377924418200344,360,374,734,0.68,0.35,0,0.0,235.68
