trial_id,parameters,auc,primary_metric,bkg_rej_@95%,bkg_rej_@98%,bkg_rej_@99%,model_name,val_accuracy,h5_file,output_dir,luts,luts_used,luts_available,luts_percent,registers,registers_used,registers_available,registers_percent,bram,bram_used,bram_available,bram_percent,dsp,dsp_used,dsp_available,dsp_percent,latency_min,latency_max,interval_min,interval_max,estimated_fmax,run_name,global_id,model_family,bit_width,luts_plus_ff
099,10703,0.9450474876772909,0.829727490695136,0.8634460196951693,0.8320649692659815,0.8046870511971603,,,,,147433,147433,53200,277.0,179807,179807,106400,168.0,892,892,280,318.0,14,14,220,6.0,103,107,23,23,98.0488,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_099,Model 2.5,3,327240
102,17865,0.9427438980391432,0.823410765523476,0.858493503980456,0.8272878173555743,0.7922997148826423,,,,,265935,265935,53200,499.0,286276,286276,106400,269.0,1948,1948,280,695.0,67,67,220,30.0,87,91,16,16,102.1138,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_102,Model 2.5,3,552211
035,7659,0.9395225336018768,0.8195439936385268,0.8552643911701301,0.8268191727061356,0.7762206681360944,,,,,123185,123185,53200,231.0,142344,142344,106400,133.0,356,356,280,127.0,8,8,220,3.0,89,93,20,20,98.0488,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_035,Model 2.5,3,265529
008,10781,0.9426812296279696,0.8167112634962099,0.8590468070181804,0.8260814353225031,0.762747890343199,,,,,158589,158589,53200,298.0,170690,170690,106400,160.0,612,612,280,218.0,63,63,220,28.0,88,92,18,18,102.1138,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_008,Model 2.5,3,329279
135,6279,0.9396259867369148,0.8120360040031324,0.8523587943436103,0.8152360910803318,0.7806743040626956,,,,,322604,322604,53200,606.0,328600,328600,106400,308.0,1000,1000,280,357.0,10,10,220,4.0,80,84,20,20,98.0488,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_135,Model 2.5,3,651204
062,7917,0.93794007665323,0.8084126249845045,0.849126658019417,0.8156865946465663,0.7625967146498318,,,,,122596,122596,53200,230.0,142288,142288,106400,133.0,336,336,280,120.0,19,19,220,8.0,97,101,20,20,102.1138,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_062,Model 2.5,3,264884
092,4061,0.9274089235832252,0.8081447416558575,0.8396993417810311,0.8122579299209955,0.7779712826652879,,,,,83384,83384,53200,156.0,96847,96847,106400,91.0,228,228,280,81.0,7,7,220,3.0,74,78,16,16,102.1138,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_092,Model 2.5,3,180231
101,6721,0.9321860097789814,0.8065951907988426,0.8470706685896214,0.8122609534348629,0.766527282677382,,,,,123179,123179,53200,231.0,147657,147657,106400,138.0,352,352,280,125.0,12,12,220,5.0,81,85,16,16,99.691,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_101,Model 2.5,3,270836
063,1853,0.9350188248251576,0.7983936070822789,0.8384959832618273,0.8031178475000076,0.7618075775304544,,,,,48804,48804,53200,91.0,55783,55783,106400,52.0,116,116,280,41.0,4,4,220,1.0,70,74,16,16,104.6682,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_063,Model 2.5,3,104587
059,1523,0.9241596681878904,0.7922189870623843,0.839907964237878,0.7974003827768557,0.7502396134739873,,,,,45740,45740,53200,85.0,49439,49439,106400,46.0,76,76,280,27.0,10,10,220,4.0,78,82,16,16,102.1138,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_059,Model 2.5,3,95179
146,2553,0.932303847804076,0.7891232112136082,0.8262053993910643,0.7904009481739488,0.7661100377636882,,,,,61221,61221,53200,115.0,70594,70594,106400,66.0,144,144,280,51.0,7,7,220,3.0,71,75,15,15,102.1138,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_146,Model 2.5,3,131815
145,511,0.9228431064439558,0.7858744455631446,0.8297882633238698,0.7992114675833961,0.7172379596119018,,,,,29582,29582,53200,55.0,28469,28469,106400,26.0,0,0,280,0.0,4,4,220,1.0,84,88,20,20,98.0488,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_145,Model 2.5,3,58051
148,1829,0.905413810110259,0.7702969997671893,0.8010920932088855,0.7769523584919922,0.7316056975095316,,,,,47685,47685,53200,89.0,54224,54224,106400,50.0,96,96,280,34.0,6,6,220,2.0,77,81,18,18,104.6682,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_148,Model 2.5,3,101909
009,1127,0.9205599348191716,0.7677823432837175,0.8041246776178339,0.7748358987848498,0.7249237318626962,,,,,36626,36626,53200,68.0,39828,39828,106400,37.0,60,60,280,21.0,4,4,220,1.0,71,75,16,16,109.529,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_009,Model 2.5,3,76454
105,697,0.8915633938072067,0.761676961731385,0.7840878512189297,0.7670352330070962,0.7317175675226235,,,,,29606,29606,53200,55.0,33246,33246,106400,31.0,40,40,280,14.0,3,3,220,1.0,79,83,20,20,95.2653,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_105,Model 2.5,3,62852
130,391,0.902420310789336,0.7580085323561336,0.7984616361442942,0.7674373603514533,0.7047810824784349,,,,,27052,27052,53200,50.0,26419,26419,106400,24.0,0,0,280,0.0,3,3,220,1.0,73,77,16,16,95.2653,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_130,Model 2.5,3,53471
053,363,0.8364742264116292,0.6355129844803034,0.657626360203301,0.6370120426557336,0.6192095930047983,,,,,25680,25680,53200,48.0,24855,24855,106400,23.0,0,0,280,0.0,3,3,220,1.0,79,83,20,20,95.2653,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_053,Model 2.5,3,50535
019,683,0.5138307215119464,0.0696690159369416,0.1123053990887129,0.0685430593727418,0.0522916723357551,,,,,29792,29792,53200,56.0,30181,30181,106400,28.0,40,40,280,14.0,3,3,220,1.0,77,81,18,18,95.2653,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_019,Model 2.5,3,59973
123,405,0.4675750107409784,0.021359916067255,0.043054837471012,0.0243634747430768,0.0,,,,,26503,26503,53200,49.0,26333,26333,106400,24.0,0,0,280,0.0,3,3,220,1.0,78,82,16,16,95.2653,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_123,Model 2.5,3,52836
