run_name,trial_id,global_id,parameters,auc,primary_metric,bkg_rej_@95%,bkg_rej_@98%,bkg_rej_@99%,luts,registers,luts_plus_ff,luts_percent,registers_percent,dsp,dsp_percent,estimated_fmax,model_family,bit_width
model2.5_quantizedinputs_10w0i_pareto_roc_selected,099,model2.5_quantizedinputs_10w0i_pareto_roc_selected_099,10703,0.9743669682746215,0.9045053380137328,0.9273751969063406,0.9067487853033038,0.8852183430539304,150928,189331,340259,283.0,177.0,641,291.0,98.0488,Model 2.5,10
model2.5_quantizedinputs_8w0i_pareto_roc_selected,017,model2.5_quantizedinputs_8w0i_pareto_roc_selected_017,6865,0.9719707198219384,0.897514973952428,0.9206962547733726,0.9001545015586214,0.876685986920279,113649,130245,243894,213.0,122.0,361,164.0,99.691,Model 2.5,8
model2.5_quantizedinputs_8w0i_pareto_roc_selected,042,model2.5_quantizedinputs_8w0i_pareto_roc_selected_042,6361,0.970555406033904,0.890849637631863,0.9162728539854448,0.8937990754094594,0.8678149972334848,105504,120627,226131,198.0,113.0,361,164.0,104.6682,Model 2.5,8
model2.5_quantizedinputs_10w0i_pareto_roc_selected,079,model2.5_quantizedinputs_10w0i_pareto_roc_selected_079,4189,0.9697575486712786,0.8905871966281773,0.9177301876695058,0.8933999715789697,0.8671709887797401,86538,98695,185233,162.0,92.0,242,110.0,102.1138,Model 2.5,10
model2.5_quantizedinputs_8w0i_pareto_roc_selected,129,model2.5_quantizedinputs_8w0i_pareto_roc_selected_129,4009,0.9689237193270998,0.8904181822029926,0.9153264941449654,0.8936720878270308,0.8665753565478728,77512,94883,172395,145.0,89.0,321,145.0,99.691,Model 2.5,8
model2.5_quantizedinputs_10w0i_pareto_roc_selected,065,model2.5_quantizedinputs_10w0i_pareto_roc_selected_065,2265,0.968613126915394,0.8884051266701134,0.9131374701050068,0.8906304328764804,0.8682503832303827,62666,70823,133489,117.0,66.0,162,73.0,102.1138,Model 2.5,10
model2.5_quantizedinputs_8w0i_pareto_roc_selected,065,model2.5_quantizedinputs_8w0i_pareto_roc_selected_065,2265,0.9690330219573996,0.8875252841347157,0.914528286483986,0.8909811604850926,0.8619282157337614,61929,69179,131108,116.0,65.0,162,73.0,102.1138,Model 2.5,8
model2.5_quantizedinputs_8w0i_pareto_roc_selected,148,model2.5_quantizedinputs_8w0i_pareto_roc_selected_148,1829,0.9679248469303706,0.883718075472953,0.912493461651262,0.8870596629991443,0.8576348260421296,48026,55317,103343,90.0,51.0,161,73.0,104.6682,Model 2.5,8
model2.5_quantizedinputs_10w0i_pareto_roc_selected,126,model2.5_quantizedinputs_10w0i_pareto_roc_selected_126,1753,0.9644253331263076,0.877577016456986,0.9012913427727436,0.8802023335480028,0.8565312434805482,47424,54667,102091,89.0,51.0,161,73.0,99.691,Model 2.5,10
model2.5_quantizedinputs_8w0i_pareto_roc_selected,126,model2.5_quantizedinputs_8w0i_pareto_roc_selected_126,1753,0.9656905836301056,0.8770215969595545,0.9030994040654168,0.8799090527028702,0.8538765983050182,46836,53376,100212,88.0,50.0,161,73.0,99.691,Model 2.5,8
model2.5_quantizedinputs_10w0i_pareto_roc_selected,059,model2.5_quantizedinputs_10w0i_pareto_roc_selected_059,1523,0.9661109895113072,0.8758563347150792,0.9050344529405184,0.8785303303793603,0.8519082907773756,47108,51843,98951,88.0,48.0,121,55.0,102.1138,Model 2.5,10
model2.5_quantizedinputs_8w0i_pareto_roc_selected,093,model2.5_quantizedinputs_8w0i_pareto_roc_selected_093,1251,0.9648935038550476,0.8748706691943243,0.9063708460698856,0.8775144297199319,0.8498674189169169,40386,45255,85641,75.0,42.0,121,55.0,122.1449,Model 2.5,8
model2.5_quantizedinputs_10w0i_pareto_roc_selected,022,model2.5_quantizedinputs_10w0i_pareto_roc_selected_022,841,0.961896039811116,0.8691411104157029,0.8952685031489896,0.872277703701688,0.8450993375481117,35994,38613,74607,67.0,36.0,81,36.0,99.691,Model 2.5,10
model2.5_quantizedinputs_6w0i_pareto_roc_selected,022,model2.5_quantizedinputs_6w0i_pareto_roc_selected_022,841,0.9542404453626534,0.8646121889938048,0.888934241596899,0.8671921533768114,0.8434212873517344,35726,37805,73531,67.0,35.0,81,36.0,99.691,Model 2.5,6
model2.5_quantizedinputs_8w0i_pareto_roc_selected,130,model2.5_quantizedinputs_8w0i_pareto_roc_selected_130,391,0.9529697408536256,0.8557275934946076,0.8842508186163796,0.8606674104510781,0.8241766215860749,27118,26793,53911,50.0,25.0,41,18.0,102.1138,Model 2.5,8
model2.5_quantizedinputs_8w0i_pareto_roc_selected,053,model2.5_quantizedinputs_8w0i_pareto_roc_selected_053,363,0.9506126795599058,0.8552544135743679,0.8835584339407573,0.8600203784834659,0.82442152620933,25766,25213,50979,48.0,23.0,41,18.0,104.6682,Model 2.5,8
model2.5_quantizedinputs_4w0i_pareto_roc_selected,053,model2.5_quantizedinputs_4w0i_pareto_roc_selected_053,363,0.9311999462268196,0.8263940666563867,0.8517782796810798,0.8285214110134516,0.8062562548943131,25763,25022,50785,48.0,23.0,1,0.0,104.6682,Model 2.5,4
model2.5_quantizedinputs_3w0i_pareto_roc_selected,053,model2.5_quantizedinputs_3w0i_pareto_roc_selected_053,363,0.8364742264116292,0.6355129844803034,0.657626360203301,0.6370120426557336,0.6192095930047983,25680,24855,50535,48.0,23.0,3,1.0,95.2653,Model 2.5,3
