model,trial_id,nodes,parameters,val_accuracy
Model2,032,401,35777,0.9496385753154755
Model2,029,433,42057,0.9494389891624451
Model2,009,401,34385,0.9492402076721191
Model2,115,457,41409,0.9490998685359955
Model2,114,441,45697,0.9490102231502533
Model2,006,377,32289,0.9489704668521881
Model2,106,393,35921,0.9488691091537476
Model2,096,417,33025,0.9488231241703033
Model2,023,377,28977,0.9487599730491638
Model2,019,321,19225,0.9487279951572418
Model2,071,329,24281,0.9487077295780182
Model2,053,345,19449,0.9486975967884064
Model2,020,345,21793,0.9486866891384125
Model2,025,505,57001,0.9486188590526581
Model2,007,281,16553,0.9485596120357513
Model2,099,385,24113,0.9482384026050568
Model2,095,441,41833,0.9482298493385315
Model2,056,353,28649,0.9482017755508423
Model2,077,393,29977,0.9481955468654633
Model2,068,473,45697,0.948129266500473
Model2,011,305,21153,0.9480271339416504
Model2,086,329,22777,0.9479523003101349
Model2,091,425,34337,0.9479452967643738
Model2,075,305,21897,0.9479265809059143
Model2,043,249,12905,0.9478751122951508
Model2,080,233,11137,0.9478338062763214
Model2,057,305,16305,0.9478244483470917
Model2,004,233,11369,0.9477761089801788
Model2,042,473,46745,0.9477379322052002
Model2,116,313,19537,0.9477308988571167
Model2,105,409,39753,0.9477106332778931
Model2,070,217,8569,0.9476973712444305
Model2,113,481,49857,0.9476482570171356
Model2,100,281,16201,0.947634220123291
Model2,063,369,28689,0.9475391209125519
Model2,058,273,10089,0.9474915564060211
Model2,072,361,27921,0.9473948776721954
Model2,117,313,22473,0.9473691582679749
Model2,081,377,33913,0.947341114282608
Model2,045,401,34817,0.9470838010311127
Model2,028,273,14985,0.9470549821853638
Model2,094,409,40505,0.9470518827438354
Model2,041,409,36345,0.9470120966434479
Model2,078,393,35873,0.946994960308075
Model2,052,481,52185,0.9469645321369171
Model2,001,297,18729,0.9468889236450195
Model2,000,385,27081,0.9468725323677063
Model2,107,345,27753,0.946699470281601
Model2,047,217,9129,0.9465342164039612
Model2,104,161,4385,0.9464032351970673
Model2,031,345,24505,0.9463564455509186
Model2,090,425,40289,0.9463042318820953
Model2,016,305,19913,0.9462761580944061
Model2,014,329,18873,0.9461537599563599
Model2,039,297,12001,0.9461451768875122
Model2,108,353,26401,0.9461256861686707
Model2,079,353,20681,0.9460828304290771
Model2,060,249,14417,0.9460742473602295
Model2,098,241,13905,0.9460500776767731
