model,trial_id,nodes,parameters,val_accuracy
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,027,269,14585,0.9076516032218933
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,134,269,14585,0.9066506624221802
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,098,285,15129,0.9065636992454529
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,101,269,14585,0.90582674741745
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,140,237,12409,0.9056954979896545
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,023,213,10505,0.905680239200592
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,118,237,12409,0.905674159526825
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,108,189,8601,0.9055215716362
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,068,213,10505,0.9054009914398193
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,119,285,15129,0.9053674340248108
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,128,269,14585,0.904880702495575
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,011,253,12953,0.9048181176185608
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,000,277,14857,0.904758632183075
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,130,285,15129,0.9046274423599243
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,078,213,10505,0.9045618176460266
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,053,221,10777,0.9045572280883789
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,003,181,8329,0.9042932391166687
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,006,237,12409,0.9040185809135437
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,111,221,10777,0.9035364389419556
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,087,149,6153,0.9033411145210266
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,092,181,8329,0.9033334851264954
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,115,213,10505,0.9033258557319641
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,042,173,8057,0.9032862186431885
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,067,221,11865,0.9031137824058533
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,147,181,8329,0.9027460813522339
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,009,277,14857,0.9026804566383362
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,057,221,10777,0.902569055557251
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,039,181,8329,0.9024744629859924
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,094,237,12409,0.9024012088775635
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,040,213,10505,0.9022913575172424
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,032,141,5881,0.9022760987281799
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,143,221,11865,0.9022440314292908
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,110,117,3977,0.9021433591842651
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,123,205,10233,0.9021098017692566
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,074,189,9689,0.9018564820289612
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,022,165,7785,0.9018335938453674
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,135,237,12409,0.9017542600631714
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,026,149,6153,0.9016947746276855
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,028,165,7785,0.9016855955123901
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,084,189,9689,0.9016611576080322
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,090,213,10505,0.9016367793083191
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,120,269,14585,0.9014811515808105
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,133,285,15129,0.9013773798942566
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,064,109,3705,0.9013682007789612
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,109,165,7785,0.9011866450309753
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,091,269,14585,0.9011561274528503
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,008,245,12681,0.9011164307594299
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,069,149,6153,0.9008601307868958
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,075,253,14041,0.9008296132087708
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,086,269,14585,0.9005274772644043
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,035,237,12409,0.9004985094070435
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,043,261,14313,0.9002711176872253
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,116,133,5609,0.9002055525779724
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,005,149,6153,0.900104820728302
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,145,237,12409,0.899158775806427
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,105,173,8057,0.8989787697792053
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,081,101,3433,0.8989314436912537
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,077,205,10233,0.8988932967185974
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,097,173,8057,0.8987605571746826
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,018,133,5609,0.8985942602157593
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,054,237,12409,0.8981090188026428
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,088,269,14585,0.8980357646942139
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,079,109,3705,0.8979915380477905
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,083,245,12681,0.8979244232177734
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,127,149,6153,0.8978862762451172
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,033,157,7513,0.8978221416473389
