model,trial_id,nodes,parameters,val_accuracy
model2_hyperparameter_search,032,401,35777,0.9496385753154755
model2_hyperparameter_search,029,433,42057,0.9494389891624451
model2_hyperparameter_search,009,401,34385,0.9492402076721191
model2_hyperparameter_search,115,457,41409,0.9490998685359955
model2_hyperparameter_search,114,441,45697,0.9490102231502533
model2_hyperparameter_search,006,377,32289,0.9489704668521881
model2_hyperparameter_search,106,393,35921,0.9488691091537476
model2_hyperparameter_search,096,417,33025,0.9488231241703033
model2_hyperparameter_search,023,377,28977,0.9487599730491638
model2_hyperparameter_search,019,321,19225,0.9487279951572418
model2_hyperparameter_search,071,329,24281,0.9487077295780182
model2_hyperparameter_search,053,345,19449,0.9486975967884064
model2_hyperparameter_search,020,345,21793,0.9486866891384125
model2_hyperparameter_search,025,505,57001,0.9486188590526581
model2_hyperparameter_search,007,281,16553,0.9485596120357513
model2_hyperparameter_search,099,385,24113,0.9482384026050568
model2_hyperparameter_search,095,441,41833,0.9482298493385315
model2_hyperparameter_search,056,353,28649,0.9482017755508423
model2_hyperparameter_search,077,393,29977,0.9481955468654633
model2_hyperparameter_search,068,473,45697,0.948129266500473
model2_hyperparameter_search,011,305,21153,0.9480271339416504
model2_hyperparameter_search,086,329,22777,0.9479523003101349
model2_hyperparameter_search,091,425,34337,0.9479452967643738
model2_hyperparameter_search,075,305,21897,0.9479265809059143
model2_hyperparameter_search,043,249,12905,0.9478751122951508
model2_hyperparameter_search,080,233,11137,0.9478338062763214
model2_hyperparameter_search,057,305,16305,0.9478244483470917
model2_hyperparameter_search,004,233,11369,0.9477761089801788
model2_hyperparameter_search,042,473,46745,0.9477379322052002
model2_hyperparameter_search,116,313,19537,0.9477308988571167
model2_hyperparameter_search,105,409,39753,0.9477106332778931
model2_hyperparameter_search,070,217,8569,0.9476973712444305
model2_hyperparameter_search,113,481,49857,0.9476482570171356
model2_hyperparameter_search,100,281,16201,0.947634220123291
model2_hyperparameter_search,063,369,28689,0.9475391209125519
model2_hyperparameter_search,058,273,10089,0.9474915564060211
model2_hyperparameter_search,072,361,27921,0.9473948776721954
model2_hyperparameter_search,117,313,22473,0.9473691582679749
model2_hyperparameter_search,081,377,33913,0.947341114282608
model2_hyperparameter_search,045,401,34817,0.9470838010311127
model2_hyperparameter_search,028,273,14985,0.9470549821853638
model2_hyperparameter_search,094,409,40505,0.9470518827438354
model2_hyperparameter_search,041,409,36345,0.9470120966434479
model2_hyperparameter_search,078,393,35873,0.946994960308075
model2_hyperparameter_search,052,481,52185,0.9469645321369171
model2_hyperparameter_search,001,297,18729,0.9468889236450195
model2_hyperparameter_search,000,385,27081,0.9468725323677063
model2_hyperparameter_search,107,345,27753,0.946699470281601
model2_hyperparameter_search,047,217,9129,0.9465342164039612
model2_hyperparameter_search,104,161,4385,0.9464032351970673
model2_hyperparameter_search,031,345,24505,0.9463564455509186
model2_hyperparameter_search,090,425,40289,0.9463042318820953
model2_hyperparameter_search,016,305,19913,0.9462761580944061
model2_hyperparameter_search,014,329,18873,0.9461537599563599
model2_hyperparameter_search,039,297,12001,0.9461451768875122
model2_hyperparameter_search,108,353,26401,0.9461256861686707
model2_hyperparameter_search,079,353,20681,0.9460828304290771
model2_hyperparameter_search,060,249,14417,0.9460742473602295
model2_hyperparameter_search,098,241,13905,0.9460500776767731
model2_hyperparameter_search,110,353,27305,0.9460180997848511
model2_hyperparameter_search,059,425,37169,0.9460103213787079
model2_hyperparameter_search,048,233,6841,0.9459378123283386
model2_hyperparameter_search,044,489,52369,0.9457280933856964
model2_hyperparameter_search,018,409,36601,0.9457179605960846
model2_hyperparameter_search,087,297,18393,0.9454794228076935
model2_hyperparameter_search,083,297,19905,0.9454669058322906
model2_hyperparameter_search,097,305,18409,0.9454568028450012
model2_hyperparameter_search,049,513,57089,0.9453796446323395
model2_hyperparameter_search,103,273,11217,0.9453156888484955
model2_hyperparameter_search,065,241,8625,0.945308655500412
model2_hyperparameter_search,035,337,25049,0.9452377557754517
model2_hyperparameter_search,082,145,3841,0.9451987445354462
model2_hyperparameter_search,038,145,4561,0.9450981914997101
model2_hyperparameter_search,013,361,27905,0.9450794756412506
model2_hyperparameter_search,092,161,5625,0.9446966648101807
model2_hyperparameter_search,064,177,4953,0.9442936480045319
model2_hyperparameter_search,088,233,7577,0.9440963864326477
model2_hyperparameter_search,015,433,40609,0.9440114200115204
model2_hyperparameter_search,112,385,32977,0.9437689781188965
model2_hyperparameter_search,085,209,8761,0.9434298276901245
model2_hyperparameter_search,037,313,20313,0.9432941973209381
model2_hyperparameter_search,036,337,25105,0.943261444568634
model2_hyperparameter_search,050,297,17985,0.9428662061691284
model2_hyperparameter_search,054,441,43385,0.9427609443664551
model2_hyperparameter_search,084,241,11681,0.9425426423549652
