model,trial_id,nodes,parameters,val_accuracy,xz_units,yl_units,merged_units1,merged_units2,merged_units3,dropout_rate,learning_rate
model2_hyperparameter_search,000,385,27081,0.9468725323677063,8,24,256,64,32,0.1,0.000926543735982781
model2_hyperparameter_search,001,297,18729,0.9468889236450195,8,56,96,80,56,0.1,0.001989751755243559
model2_hyperparameter_search,002,193,8489,0.9365163445472717,40,8,96,32,16,0.1,0.00015188551736259345
model2_hyperparameter_search,003,201,6849,0.9422690272331238,32,32,32,80,24,0.1,0.0005880431087905998
model2_hyperparameter_search,004,233,11369,0.9477761089801788,40,32,64,80,16,0.1,0.008330111780465995
model2_hyperparameter_search,005,369,26249,0.938267320394516,24,48,192,48,56,0.1,0.00013414267455355165
model2_hyperparameter_search,006,377,32289,0.9489704668521881,48,32,128,128,40,0.1,0.005117045969850107
model2_hyperparameter_search,007,281,16553,0.9485596120357513,24,48,96,64,48,0.1,0.003905968508609108
model2_hyperparameter_search,008,385,29193,0.9396487772464752,8,56,192,64,64,0.1,0.00017850071151495693
model2_hyperparameter_search,009,401,34385,0.9492402076721191,64,32,224,48,32,0.1,0.003579780491805438
model2_hyperparameter_search,010,209,7513,0.9306303560733795,40,24,32,80,32,0.1,0.00011998472287810798
model2_hyperparameter_search,011,305,21153,0.9480271339416504,16,32,96,112,48,0.1,0.008553027379762107
model2_hyperparameter_search,012,257,10753,0.9392979443073273,16,56,32,112,40,0.1,0.0002421696251742364
model2_hyperparameter_search,013,361,27905,0.9450794756412506,16,56,96,128,64,0.1,0.0004160740903870983
model2_hyperparameter_search,014,329,18873,0.9461537599563599,8,48,192,32,48,0.1,0.0012941555333848493
model2_hyperparameter_search,015,433,40609,0.9440114200115204,64,56,160,96,56,0.1,0.0002249755313619729
model2_hyperparameter_search,016,305,19913,0.9462761580944061,56,8,160,48,32,0.1,0.0006272926608040048
model2_hyperparameter_search,017,225,10001,0.9411658942699432,64,8,64,48,40,0.1,0.00023700731349812458
model2_hyperparameter_search,018,409,36601,0.9457179605960846,8,40,224,96,40,0.1,0.0006605848990202585
model2_hyperparameter_search,019,321,19225,0.9487279951572418,8,32,192,48,40,0.1,0.0055855881161241475
model2_hyperparameter_search,020,345,21793,0.9486866891384125,48,40,160,32,64,0.1,0.004569579155191588
model2_hyperparameter_search,021,329,18497,0.9341596066951752,64,56,64,80,64,0.1,0.0001029562160619873
model2_hyperparameter_search,022,201,8993,0.9390515983104706,16,8,64,64,48,0.1,0.00023719127670472298
model2_hyperparameter_search,023,377,28977,0.9487599730491638,32,56,160,64,64,0.1,0.006023999675985848
model2_hyperparameter_search,024,225,6953,0.9402389228343964,56,64,32,48,24,0.1,0.0002333905935392085
model2_hyperparameter_search,025,505,57001,0.9486188590526581,56,8,256,128,56,0.1,0.0036990629351355588
model2_hyperparameter_search,026,273,13489,0.9418433606624603,48,8,32,128,56,0.1,0.00041818829630028666
model2_hyperparameter_search,027,209,8729,0.9239678978919983,8,8,96,48,48,0.1,0.00011103593434762787
model2_hyperparameter_search,028,273,14985,0.9470549821853638,8,64,128,32,40,0.1,0.007098325702001617
model2_hyperparameter_search,029,433,42057,0.9494389891624451,40,32,224,96,40,0.1,0.0017004031943995508
model2_hyperparameter_search,030,233,12393,0.9302896559238434,24,64,96,32,16,0.1,0.00011761309742767026
model2_hyperparameter_search,031,345,24505,0.9463564455509186,24,32,224,48,16,0.1,0.0006950772468507907
model2_hyperparameter_search,032,401,35777,0.9496385753154755,48,56,224,48,24,0.1,0.004384151266566465
model2_hyperparameter_search,033,345,25329,0.9362263381481171,32,56,96,128,32,0.1,0.00011289813322780023
model2_hyperparameter_search,034,289,18369,0.9421021640300751,48,32,96,80,32,0.1,0.00021248812604678072
model2_hyperparameter_search,035,337,25049,0.9452377557754517,24,40,96,128,48,0.1,0.0005293391761557029
model2_hyperparameter_search,036,337,25105,0.943261444568634,64,32,160,48,32,0.1,0.00022675640157151182
model2_hyperparameter_search,037,313,20313,0.9432941973209381,24,56,96,80,56,0.1,0.00036370716699464734
model2_hyperparameter_search,038,145,4561,0.9450981914997101,16,8,32,64,24,0.1,0.006492690297457527
model2_hyperparameter_search,039,297,12001,0.9461451768875122,48,56,32,128,32,0.1,0.0015323427281788212
model2_hyperparameter_search,040,257,14161,0.9419064819812775,16,24,64,128,24,0.1,0.0003396785425006228
model2_hyperparameter_search,041,409,36345,0.9470120966434479,8,64,256,64,16,0.1,0.000990637202193499
model2_hyperparameter_search,042,473,46745,0.9477379322052002,40,64,256,64,48,0.1,0.0011466013001199728
model2_hyperparameter_search,043,249,12905,0.9478751122951508,40,16,64,112,16,0.1,0.006349260132301681
model2_hyperparameter_search,044,489,52369,0.9457280933856964,32,56,256,96,48,0.1,0.00033451441046197393
model2_hyperparameter_search,045,401,34817,0.9470838010311127,32,8,224,96,40,0.1,0.0008430177316823599
model2_hyperparameter_search,046,329,23761,0.9377457499504089,16,56,128,80,48,0.1,0.00016478996207387034
model2_hyperparameter_search,047,217,9129,0.9465342164039612,8,8,96,48,56,0.1,0.007554544167531015
model2_hyperparameter_search,048,233,6841,0.9459378123283386,40,64,32,32,64,0.1,0.004502504730324185
model2_hyperparameter_search,049,513,57089,0.9453796446323395,64,64,224,96,64,0.1,0.0002626406585869646
model2_hyperparameter_search,050,297,17985,0.9428662061691284,32,32,64,112,56,0.1,0.0003918641276645972
model2_hyperparameter_search,051,353,28409,0.9370293021202087,40,24,128,112,48,0.1,0.00010674541740374034
model2_hyperparameter_search,052,481,52185,0.9469645321369171,8,64,256,112,40,0.1,0.0008783907168895426
model2_hyperparameter_search,053,345,19449,0.9486975967884064,40,16,192,32,64,0.1,0.00332265556312533
model2_hyperparameter_search,054,441,43385,0.9427609443664551,40,48,160,128,64,0.1,0.00019252856095737495
model2_hyperparameter_search,055,193,6457,0.9403176605701447,8,40,32,48,64,0.1,0.0004192081977462822
model2_hyperparameter_search,056,353,28649,0.9482017755508423,24,56,128,112,32,0.1,0.002647525297275649
model2_hyperparameter_search,057,305,16305,0.9478244483470917,16,40,160,32,56,0.1,0.0028209709086056147
model2_hyperparameter_search,058,273,10089,0.9474915564060211,8,8,160,32,64,0.1,0.009726251164538662
model2_hyperparameter_search,059,425,37169,0.9460103213787079,32,8,224,96,64,0.1,0.0006346833837140555
model2_hyperparameter_search,060,249,14417,0.9460742473602295,16,8,64,112,48,0.1,0.0018188525449890844
model2_hyperparameter_search,061,369,28529,0.9349470138549805,32,40,224,48,24,0.1,0.00011307631534561521
model2_hyperparameter_search,062,321,22497,0.9396573603153229,48,32,160,48,32,0.1,0.0001231642465909657
model2_hyperparameter_search,063,369,28689,0.9475391209125519,16,64,96,128,64,0.1,0.009729150140839459
model2_hyperparameter_search,064,177,4953,0.9442936480045319,56,24,32,32,32,0.1,0.0009596496158057221
model2_hyperparameter_search,065,241,8625,0.945308655500412,48,48,32,64,48,0.1,0.0009358636959100566
model2_hyperparameter_search,066,441,42529,0.9347552061080933,16,40,256,96,32,0.1,0.00012227914055837984
model2_hyperparameter_search,067,417,39713,0.9418971538543701,16,48,192,112,48,0.1,0.0002021868436609202
model2_hyperparameter_search,068,473,45697,0.948129266500473,48,8,256,96,64,0.1,0.001102804105585901
