model,trial_id,nodes,parameters,val_accuracy,xz_units,yl_units,merged_units1,merged_units2,merged_units3,dropout_rate,learning_rate
model2_quantized_4w0i_hyperparameter_search,001,113,2733,0.7883660793304443,12,12,32,32,24,0.1,0.0011228308916583806
model2_quantized_4w0i_hyperparameter_search,002,137,4405,0.7497150301933289,12,4,64,40,16,0.1,0.0059168715742309586
model2_quantized_4w0i_hyperparameter_search,003,149,4805,0.7511783242225647,20,16,56,32,24,0.1,0.0010705522855084585
model2_quantized_4w0i_hyperparameter_search,004,85,1057,0.7485477924346924,16,20,16,8,24,0.1,0.000643668170377436
model2_quantized_4w0i_hyperparameter_search,005,61,629,0.7293938994407654,20,4,8,16,12,0.1,0.00030126070427385855
model2_quantized_4w0i_hyperparameter_search,006,137,4205,0.7470234632492065,20,8,56,32,20,0.1,0.00015795018468366332
model2_quantized_4w0i_hyperparameter_search,009,125,3269,0.7785396575927734,20,16,32,40,16,0.1,0.0005061452043306976
model2_quantized_4w0i_hyperparameter_search,010,113,2857,0.7272089123725891,16,8,32,40,16,0.1,0.00010928367858612345
model2_quantized_4w0i_hyperparameter_search,011,105,2717,0.7598313689231873,4,8,56,32,4,0.1,0.0022335327280685277
model2_quantized_4w0i_hyperparameter_search,012,133,4021,0.7484837174415588,4,20,40,48,20,0.1,0.0014319833413005392
model2_quantized_4w0i_hyperparameter_search,013,57,545,0.7621765732765198,8,16,8,16,8,0.1,0.0003520758516851775
model2_quantized_4w0i_hyperparameter_search,014,89,1937,0.7663314342498779,16,20,40,8,4,0.1,0.00013468371522638964
model2_quantized_4w0i_hyperparameter_search,015,161,5797,0.7482044696807861,12,20,64,40,24,0.1,0.00035845621874936584
model2_quantized_4w0i_hyperparameter_search,016,117,3157,0.7505313754081726,4,16,64,24,8,0.1,0.0021978128955561574
model2_quantized_4w0i_hyperparameter_search,017,101,2181,0.7465763688087463,20,4,32,24,20,0.1,0.0010847808345956858
model2_quantized_4w0i_hyperparameter_search,018,117,3397,0.7613434791564941,12,20,56,24,4,0.1,0.0004627506437326911
model2_quantized_4w0i_hyperparameter_search,019,129,3589,0.7804241180419922,20,8,32,48,20,0.1,0.0005334545424135214
model2_quantized_4w0i_hyperparameter_search,020,149,5373,0.7441259026527405,4,20,64,48,12,0.1,0.0018532164121209196
model2_quantized_4w0i_hyperparameter_search,021,89,1177,0.7393606901168823,16,16,8,32,16,0.1,0.0001128891018354776
model2_quantized_4w0i_hyperparameter_search,022,53,641,0.7467747330665588,16,8,16,8,4,0.1,0.0009225596807894737
model2_quantized_4w0i_hyperparameter_search,023,121,3005,0.7554857730865479,12,20,32,32,24,0.1,0.003216301914364219
model2_quantized_4w0i_hyperparameter_search,024,65,981,0.742104172706604,4,4,32,16,8,0.1,0.009947201618750954
model2_quantized_4w0i_hyperparameter_search,025,117,3121,0.7436650991439819,16,16,40,32,12,0.1,0.00011878487743832982
model2_quantized_4w0i_hyperparameter_search,026,137,4545,0.7591553926467896,16,16,64,32,8,0.1,0.0001831692097718212
model2_quantized_4w0i_hyperparameter_search,027,109,2853,0.7653793096542358,20,8,48,24,8,0.1,0.0001674439210017035
