model,trial_id,nodes,parameters,val_accuracy
model3_quantized_4w0i_hyperparameter_search,12,2265,366473,0.9480240345001221
model3_quantized_4w0i_hyperparameter_search,10,2163,302487,0.9479242563247681
model3_quantized_4w0i_hyperparameter_search,05,2257,412009,0.9473068118095398
model3_quantized_4w0i_hyperparameter_search,04,1203,158327,0.946980893611908
model3_quantized_4w0i_hyperparameter_search,11,3215,460663,0.9455994367599487
model3_quantized_4w0i_hyperparameter_search,06,4083,590807,0.9451348185539246
model3_quantized_4w0i_hyperparameter_search,01,1129,79445,0.9447309970855713
model3_quantized_4w0i_hyperparameter_search,02,1254,189270,0.9446374177932739
model3_quantized_4w0i_hyperparameter_search,14,4159,602375,0.9443786144256592
model3_quantized_4w0i_hyperparameter_search,08,3185,456103,0.944263219833374
model3_quantized_4w0i_hyperparameter_search,15,3273,615497,0.9433214664459229
model3_quantized_4w0i_hyperparameter_search,19,3167,453319,0.9426774978637695
model3_quantized_4w0i_hyperparameter_search,07,3170,381498,0.9408641457557678
model3_quantized_4w0i_hyperparameter_search,16,2233,407177,0.9391210079193115
model3_quantized_4w0i_hyperparameter_search,03,1073,51467,0.9389198422431946
model3_quantized_4w0i_hyperparameter_search,18,2055,100803,0.93878573179245
model3_quantized_4w0i_hyperparameter_search,13,3979,197315,0.9331851005554199
model3_quantized_4w0i_hyperparameter_search,00,4053,396197,0.9301992058753967
model3_quantized_4w0i_hyperparameter_search,17,2017,98779,0.9288052916526794
model3_quantized_4w0i_hyperparameter_search,09,2043,100147,0.9261515736579895
