model,trial_id,nodes,parameters,val_accuracy,conv_filters,kernel_rows,kernel_cols,scalar_dense_units,merged_dense_1,merged_multiplier_2,dropout_rate,learning_rate
model3_quantized_4w0i_hyperparameter_search,000,3165,424301,0.9446483254432678,48,3,3,32,140,0.8,0.1,0.0012661534807511302
model3_quantized_4w0i_hyperparameter_search,001,1660,149212,0.9438687562942505,24,3,3,48,95,0.8,0.1,0.000989217786254881
model3_quantized_4w0i_hyperparameter_search,002,2641,279135,0.9462184906005859,40,3,3,64,110,0.6000000000000001,0.1,0.0018754503534125356
model3_quantized_4w0i_hyperparameter_search,003,2962,103050,0.9272897839546204,48,3,3,32,35,0.4,0.1,0.00022386931737298818
model3_quantized_4w0i_hyperparameter_search,004,2941,59013,0.9284092783927917,48,3,3,32,20,0.4,0.1,0.00022482374686240203
model3_quantized_4w0i_hyperparameter_search,005,2658,317322,0.946380615234375,40,3,3,32,125,0.8,0.1,0.0013663952856751457
model3_quantized_4w0i_hyperparameter_search,006,1137,84945,0.9455869793891907,16,3,3,32,80,0.8,0.1,0.003415655222147983
model3_quantized_4w0i_hyperparameter_search,007,2123,221983,0.9450880289077759,32,3,3,48,110,0.4,0.1,0.0007956865089935787
model3_quantized_4w0i_hyperparameter_search,008,2009,69549,0.9413537383079529,32,3,3,32,35,0.6000000000000001,0.1,0.0007085245085911898
model3_quantized_4w0i_hyperparameter_search,009,1601,122097,0.9435927867889404,24,3,3,16,80,0.8,0.1,0.004706250120495539
model3_quantized_4w0i_hyperparameter_search,010,2018,69898,0.9445719718933105,32,3,3,48,35,0.4,0.1,0.0027553942716603
model3_quantized_4w0i_hyperparameter_search,011,1509,30149,0.9305001497268677,24,3,3,32,20,0.8,0.1,0.0003224373107912853
model3_quantized_4w0i_hyperparameter_search,012,1177,131859,0.9442320466041565,16,3,3,16,125,0.6000000000000001,0.1,0.006299187916800518
model3_quantized_4w0i_hyperparameter_search,013,2102,191206,0.9429301023483276,32,3,3,48,95,0.4,0.1,0.0003838912108737987
model3_quantized_4w0i_hyperparameter_search,014,1561,53885,0.9407004714012146,24,3,3,64,35,0.6000000000000001,0.1,0.0005297091719195199
model3_quantized_4w0i_hyperparameter_search,015,3083,327743,0.940742552280426,48,3,3,48,110,0.4,0.1,0.0005301182854479577
model3_quantized_4w0i_hyperparameter_search,016,1676,150780,0.9421240091323853,24,3,3,64,95,0.8,0.1,0.0004900688590401333
model3_quantized_4w0i_hyperparameter_search,017,3111,330863,0.9301571249961853,48,3,3,32,110,0.8,0.1,0.00015225793038216
model3_quantized_4w0i_hyperparameter_search,018,2535,124883,0.9435522556304932,40,3,3,64,50,0.4,0.1,0.000723051095080521
model3_quantized_4w0i_hyperparameter_search,019,1067,51139,0.9446592926979065,16,3,3,16,50,0.8,0.1,0.002770285640257412
model3_quantized_4w0i_hyperparameter_search,020,1574,98478,0.9406708478927612,24,3,3,16,65,0.8,0.1,0.0006183930099784303
model3_quantized_4w0i_hyperparameter_search,021,1201,148917,0.9370160698890686,16,3,3,16,140,0.6000000000000001,0.1,0.00024158687551272578
model3_quantized_4w0i_hyperparameter_search,022,2102,133022,0.9404400587081909,32,3,3,64,65,0.8,0.1,0.0004231890726974646
model3_quantized_4w0i_hyperparameter_search,023,1537,74699,0.9265538454055786,24,3,3,16,50,0.6000000000000001,0.1,0.00012097727664511757
model3_quantized_4w0i_hyperparameter_search,024,2121,193049,0.9476155042648315,32,3,3,48,95,0.6000000000000001,0.1,0.006600507698841165
model3_quantized_4w0i_hyperparameter_search,025,3088,371052,0.94767165184021,48,3,3,32,125,0.4,0.1,0.0037702242108628697
model3_quantized_4w0i_hyperparameter_search,026,1701,219085,0.9481861591339111,24,3,3,64,140,0.4,0.1,0.0034854093215866385
model3_quantized_4w0i_hyperparameter_search,027,2113,163249,0.9449710845947266,32,3,3,64,80,0.6000000000000001,0.1,0.006419650235738946
model3_quantized_4w0i_hyperparameter_search,028,1168,130732,0.9457507133483887,16,3,3,32,125,0.4,0.1,0.0022132225207133274
model3_quantized_4w0i_hyperparameter_search,029,1185,118687,0.9355738162994385,16,3,3,48,110,0.6000000000000001,0.1,0.00019536286682862418
model3_quantized_4w0i_hyperparameter_search,030,1533,30709,0.9188264012336731,24,3,3,64,20,0.4,0.1,0.0001408159197641455
model3_quantized_4w0i_hyperparameter_search,031,2102,133022,0.9463868737220764,32,3,3,64,65,0.8,0.1,0.0019513235178244249
model3_quantized_4w0i_hyperparameter_search,032,2497,50157,0.9387015700340271,40,3,3,64,20,0.6000000000000001,0.1,0.0013564647088211992
model3_quantized_4w0i_hyperparameter_search,033,3073,326591,0.9351372122764587,48,3,3,16,110,0.6000000000000001,0.1,0.0003988243318997696
