trial_id,hp_tag,parameters,auc,primary_metric
hp5q_trial_004,hp5q,595,0.9466733943515554,0.8382096564985895
hp3q_trial_003,hp3q,281,0.944157375386754,0.8338833105058037
hp3q_trial_004,hp3q,235,0.944958933992152,0.8300153292153074
hp2q_trial_009,hp2q,199,0.9433686275502379,0.8248904732101554
hp3q_trial_001,hp3q,155,0.9388890645906777,0.8225182242298354
hp4q_trial_000,hp4q,121,0.937537838567093,0.8162919021228091
hp5q_trial_008,hp5q,105,0.9362614266878203,0.8122282994850955
hp3q_trial_000,hp3q,91,0.9214100097877284,0.7797826698232152
hp2q_trial_006,hp2q,79,0.8880494867896274,0.6979975267656564
hp5q_trial_001,hp5q,67,0.8394530598560263,0.6658754130875821
hp3q_trial_009,hp3q,65,0.8351328839364829,0.6543609652265671
hp2q_trial_007,hp2q,31,0.854693929802508,0.5189135909971851
hp3q_trial_002,hp3q,25,0.5,0.0
