trial_id,hp_tag,parameters,auc,primary_metric
hp4q_trial_007,hp4q,391,0.9480106694019825,0.8440894839164179
hp4q_trial_006,hp4q,265,0.9483342619652743,0.843450313084861
hp5q_trial_002,hp5q,337,0.9484628475742566,0.8426744794264999
hp5q_trial_003,hp5q,267,0.946192296362065,0.8416676493086734
hp4q_trial_002,hp4q,211,0.9452101569303348,0.838253497449666
hp5q_trial_001,hp5q,205,0.9393380025374589,0.8368844503705315
hp4q_trial_008,hp4q,163,0.9452931797976465,0.8346839369778769
hp3q_trial_000,hp3q,235,0.9450846418917919,0.8317792472055173
hp3q_trial_006,hp3q,155,0.9449033654783686,0.8277622066813608
hp3q_trial_001,hp3q,121,0.9418471349615151,0.8272188812393988
hp2q_trial_009,hp2q,199,0.9448325796462859,0.8267221179109938
hp5q_trial_000,hp5q,151,0.9367825873353347,0.8244287826426115
hp4q_trial_005,hp4q,121,0.9335349256562719,0.8112432386671142
hp3q_trial_004,hp3q,91,0.9343880440263257,0.8098379094215715
hp3q_trial_002,hp3q,65,0.9241991303501219,0.738190910712612
hp2q_trial_005,hp2q,99,0.9050811717472034,0.7324271862272895
hp2q_trial_006,hp2q,79,0.9044368431625038,0.730858889584297
hp4q_trial_000,hp4q,55,0.9047597470040729,0.724652825020182
hp5q_trial_006,hp5q,67,0.8578372973937148,0.7185311164929657
hp2q_trial_004,hp2q,61,0.8907346645635281,0.7105638551011214
hp2q_trial_002,hp2q,45,0.8617684506870918,0.5988308071874971
hp3q_trial_009,hp3q,43,0.8587095367983674,0.5911525937213711
hp3q_trial_005,hp3q,25,0.82340753744996,0.5835499681019287
hp5q_trial_007,hp5q,37,0.812378659139346,0.5690764072189417
hp2q_trial_008,hp2q,19,0.8116697974599648,0.5621670733292817
hp2q_trial_007,hp2q,31,0.8368847299720428,0.42920956276965955
