model,trial_id,parameters,val_accuracy,metric_name,hyperparams,model_file
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,027,7177,0.8520513029833011,val_weighted_bkg_rej,"{'spatial_units': 144, 'z_global_units': 14, 'dense2_units': 12, 'dense3_units': 4, 'dropout_rate': 0.15000000000000002, 'learning_rate': 0.0026798596778915378}",/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2.5_quantized_4w0i_hyperparameter_results_20260211_225533/model_trial_027.h5
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,147,3365,0.8520144161141193,val_weighted_bkg_rej,"{'spatial_units': 64, 'z_global_units': 16, 'dense2_units': 12, 'dense3_units': 4, 'dropout_rate': 0.05, 'learning_rate': 0.0059237449094478485}",/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2.5_quantized_4w0i_hyperparameter_results_20260211_225533/model_trial_147.h5
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,042,2685,0.848668595668514,val_weighted_bkg_rej,"{'spatial_units': 64, 'z_global_units': 16, 'dense2_units': 4, 'dense3_units': 4, 'dropout_rate': 0.1, 'learning_rate': 0.0030932505442956165}",/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2.5_quantized_4w0i_hyperparameter_results_20260211_225533/model_trial_042.h5
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,003,2649,0.841422139982645,val_weighted_bkg_rej,"{'spatial_units': 64, 'z_global_units': 10, 'dense2_units': 4, 'dense3_units': 4, 'dropout_rate': 0.0, 'learning_rate': 0.0058263756897235135}",/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2.5_quantized_4w0i_hyperparameter_results_20260211_225533/model_trial_003.h5
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,026,1801,0.8410224314493819,val_weighted_bkg_rej,"{'spatial_units': 32, 'z_global_units': 14, 'dense2_units': 12, 'dense3_units': 4, 'dropout_rate': 0.1, 'learning_rate': 0.004767295172393763}",/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2.5_quantized_4w0i_hyperparameter_results_20260211_225533/model_trial_026.h5
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,021,1773,0.8358525250876063,val_weighted_bkg_rej,"{'spatial_units': 32, 'z_global_units': 12, 'dense2_units': 12, 'dense3_units': 4, 'dropout_rate': 0.2, 'learning_rate': 0.00263349573424098}",/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2.5_quantized_4w0i_hyperparameter_results_20260211_225533/model_trial_021.h5
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,029,1717,0.833925034997173,val_weighted_bkg_rej,"{'spatial_units': 32, 'z_global_units': 8, 'dense2_units': 12, 'dense3_units': 4, 'dropout_rate': 0.0, 'learning_rate': 0.0011196725758620485}",/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2.5_quantized_4w0i_hyperparameter_results_20260211_225533/model_trial_029.h5
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,096,741,0.7890681832612225,val_weighted_bkg_rej,"{'spatial_units': 16, 'z_global_units': 12, 'dense2_units': 4, 'dense3_units': 4, 'dropout_rate': 0.05, 'learning_rate': 0.0006929802948655483}",/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2.5_quantized_4w0i_hyperparameter_results_20260211_225533/model_trial_096.h5
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,167,717,0.7496681693530587,val_weighted_bkg_rej,"{'spatial_units': 16, 'z_global_units': 8, 'dense2_units': 4, 'dense3_units': 4, 'dropout_rate': 0.1, 'learning_rate': 0.004499991835674089}",/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2.5_quantized_4w0i_hyperparameter_results_20260211_225533/model_trial_167.h5
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,144,705,0.7349850789590646,val_weighted_bkg_rej,"{'spatial_units': 16, 'z_global_units': 6, 'dense2_units': 4, 'dense3_units': 4, 'dropout_rate': 0.2, 'learning_rate': 0.0004027083684614831}",/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2.5_quantized_4w0i_hyperparameter_results_20260211_225533/model_trial_144.h5
