model_name,parameters,auc,background_rejection,fpr_at_target,achieved_signal_efficiency,threshold_at_target
model_trial_000,5233,0.94212610198367,0.8427530907870509,0.1572469092129491,0.9808581337058302,0.484375
model_trial_001,4021,0.5000030235001549,9.070541602040905e-06,0.999990929458398,0.9999969764861326,0.0
model_trial_002,3253,0.8917767766704978,0.6580073229505867,0.3419926770494133,0.9804529828476058,0.375
model_trial_003,2649,0.9338357613323154,0.8381210675422763,0.16187893245772372,0.9802443603907589,0.5625
model_trial_004,2021,0.5261321664920048,0.0,1.0,1.0,-1.0
model_trial_005,2597,0.930059174648528,0.8363311473328072,0.16366885266719275,0.9804136771673303,0.421875
model_trial_006,5245,0.9407342400757692,0.8365397697896542,0.16346023021034586,0.9808853453306363,0.515625
model_trial_007,4817,0.9286217935451404,0.8340846765293689,0.1659153234706311,0.9804862415001466,0.65625
model_trial_008,5209,0.9486597185630179,0.8395753777124699,0.16042462228753013,0.9802806425571671,0.390625
model_trial_009,5873,0.4830441085027868,0.0,1.0,1.0,-1.0
model_trial_010,3881,0.8563564652483138,0.6524077752682613,0.34759222473173873,0.980558805832963,0.484375
model_trial_011,5669,0.9218807925515818,0.8121581539633731,0.18784184603662685,0.9821521976410544,0.65625
model_trial_013,4557,0.8896529634358425,0.751285749272089,0.24871425072791095,0.980105278752861,0.3125
model_trial_014,1961,0.8104644479015586,0.5017521262861272,0.4982478737138728,0.9813388724107384,0.3203125
model_trial_015,3241,0.8404828115659586,0.6395336532211005,0.3604663467788995,0.9805497352913609,0.5390625
model_trial_016,3881,0.9137099578625378,0.7544422977495986,0.24555770225040138,0.980105278752861,0.453125
model_trial_017,4733,0.9238990002118408,0.7776810253340227,0.2223189746659773,0.9801899371411467,0.5703125
model_trial_018,1985,0.9052036642317507,0.765837921515627,0.23416207848437298,0.9815142362150444,0.546875
model_trial_019,3941,0.8790920143913629,0.727514883247012,0.272485116752988,0.9802957601265038,0.5234375
model_trial_020,3365,0.942510167150855,0.8228916281924528,0.1771083718075473,0.9803622774315854,0.25
model_trial_021,1773,0.9397568330450811,0.8367725803574398,0.16322741964256018,0.9802594779600957,0.28125
model_trial_022,4077,0.9419465522333326,0.8367393217048991,0.163260678295101,0.9800629495587182,0.6171875
model_trial_023,4077,0.5946934392445798,0.0,1.0,1.0,-1.0
model_trial_024,2613,0.8860536702369021,0.7524739902219562,0.24752600977804384,0.9801173728083303,0.5625
model_trial_025,3953,0.574374863534576,0.0006500554814794501,0.9993499445185205,1.0,-0.1875
model_trial_026,1801,0.9375390069093247,0.8347800847188586,0.16521991528114144,0.9804136771673303,0.4765625
model_trial_027,7177,0.6987465614526652,0.08952322209825814,0.9104767779017419,0.9801959841688814,-0.671875
model_trial_028,4021,0.9412216111747967,0.8371777312156642,0.16282226878433578,0.980359253917718,0.4375
model_trial_029,1717,0.9396862024105546,0.8110182892353835,0.18898171076461642,0.9806857934153915,0.328125
model_trial_030,3289,0.9228282180965737,0.7578981740999755,0.2421018259000245,0.9809367450663813,0.25
model_trial_031,3241,0.8952500922138293,0.7672105968114022,0.23278940318859773,0.9808067339700853,0.53125
model_trial_032,1745,0.9366535878799153,0.8203125708636063,0.17968742913639374,0.9804499593337385,0.5703125
model_trial_033,3253,0.936816147712146,0.8195718099661065,0.1804281900338936,0.9803078541819732,0.5
model_trial_034,5529,0.9111469902474658,0.7507717519146402,0.24922824808535984,0.9805799704300344,0.4375
model_trial_035,5245,0.8864606705258146,0.7688432942997693,0.2311567057002307,0.9800841141557896,0.671875
model_trial_036,753,0.885535466255041,0.7477935907553039,0.252206409244696,0.9801597020024733,0.40625
model_trial_037,4761,0.9027490436626144,0.7547537196779353,0.2452462803220647,0.9806071820548405,0.5546875
model_trial_038,1973,0.8642705828895876,0.5913539597449364,0.4086460402550636,0.9802171487659528,0.4375
model_trial_039,2649,0.913019894572851,0.7806833746042976,0.21931662539570237,0.9806978874708608,0.375
model_trial_040,3941,0.929879700357826,0.7776447431676146,0.22235525683238547,0.9803108776958406,0.390625
