model,run_name,trial_id,parameters,auc,bkg_rej_@99%,luts,registers,luts_plus_0.5*_ff,dsp,bram,hls_source,fullPath
model1,model1_3w5i,546,463.0,0.9056834153017188,0.693058919214733,7376,7333,11042.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_primary/model_trial_546.h5
model1,model1_3w5i,552,595.0,0.884111751993619,0.6621072077547083,9282,9066,13815.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_secondary/model_trial_552.h5
model1,model1_3w5i,538,331.0,0.8969978562300481,0.6411421625985287,5772,5600,8572.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_primary/model_trial_538.h5
model1,model1_3w5i,557,501.0,0.8812723383819475,0.630974085462643,9446,8259,13575.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_secondary/model_trial_557.h5
model1,model1_3w5i,533,281.0,0.890163563619619,0.6221454249699916,5893,4951,8368.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_primary/model_trial_533.h5
model1,model1_3w5i,559,415.0,0.85825384142731,0.6108102714813102,8124,7493,11870.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_secondary/model_trial_559.h5
model1,model1_3w5i,530,155.0,0.8526639868594303,0.6046362561641889,3938,3647,5761.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_primary/model_trial_530.h5
model1,model1_3w5i,525,99.0,0.8606186053310594,0.5994932590758327,2800,2574,4087.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_primary/model_trial_525.h5
model1,model1_3w5i,542,391.0,0.857602516606803,0.5967509319981497,7667,6605,10969.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_secondary/model_trial_542.h5
model1,model1_3w5i,524,61.0,0.8647715726175921,0.5957047962000478,2438,1662,3269.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_primary/model_trial_524.h5
model1,model1_3w5i,536,91.0,0.8597348010573974,0.5955112913125375,3421,2294,4568.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_secondary/model_trial_536.h5
model1,model1_3w5i,526,79.0,0.8517750726260135,0.5597400987479629,2926,1910,3881.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_secondary/model_trial_526.h5
model1,model1_3w5i,544,31.0,0.7529683139420451,0.5154244559942673,2127,1442,2848.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_primary/model_trial_544.h5
model1,model1_3w5i,527,31.0,0.8398083225480358,0.4630904544643693,1660,1161,2240.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_secondary/model_trial_527.h5
model1,model1_3w5i,528,19.0,0.8311355457461963,0.2800136662826804,1271,906,1724.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_primary/model_trial_528.h5
model1,model1_3w5i,534,25.0,0.5,0.0,1698,1186,2291.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_secondary/model_trial_534.h5
model1,model1_4w6i,647,325.0,0.9287623360759086,0.7553584224514046,6879,5943,9850.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_647.h5
model1,model1_4w6i,645,463.0,0.9353190089265164,0.7518481228514154,7792,7252,11418.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_secondary/model_trial_645.h5
model1,model1_4w6i,648,211.0,0.934858840511775,0.7513038903552931,5479,4645,7801.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_648.h5
model1,model1_4w6i,631,193.0,0.9200855602150756,0.7284007728101445,5569,3936,7537.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_631.h5
model1,model1_4w6i,639,281.0,0.925249169754824,0.727690247051318,6197,5003,8698.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_secondary/model_trial_639.h5
model1,model1_4w6i,636,235.0,0.9249380805820416,0.7170595722937283,5361,4555,7638.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_secondary/model_trial_636.h5
model1,model1_4w6i,646,121.0,0.9123092667796532,0.6789481799958276,4364,2987,5857.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_646.h5
model1,model1_4w6i,638,121.0,0.9189085294798742,0.6710628558297882,4406,2748,5780.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_secondary/model_trial_638.h5
model1,model1_4w6i,637,91.0,0.887792023784351,0.6679335189770848,3414,2351,4589.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_637.h5
