trial_id,parameters,auc,primary_metric
647,325,0.9287623360759086,0.7553584224514046
648,211,0.934858840511775,0.7513038903552931
631,193,0.9200855602150756,0.7284007728101445
646,121,0.9123092667796532,0.6789481799958276
637,91,0.887792023784351,0.6679335189770848
649,85,0.8405670320104542,0.5694092960957365
642,55,0.8161392349696828,0.5399481769723137
622,45,0.8217202626205626,0.41723584315219464
655,37,0.7815369484700827,0.38589409840328237
627,31,0.8296201966523233,0.37483106116266207
628,19,0.8235910679074565,0.30507254921524696
