Signal Type: Mean Signal AUC (0.3-3 kHz)
Validation Loss,Adjusted ROC AUC,Model Size (b),binary_type,dropout,kernel_height_0,kernel_height_1,kernel_width_0,kernel_width_1,n_conv_layers,n_dense_layers,n_dense_units_0,n_dense_units_1,n_dense_units_2,n_dense_units_3,n_filters_0,n_filters_1,q_activation_bits,q_activation_ints,shortcut,stride_height_0,stride_height_1,stride_width_0,stride_width_1,use_bias_conv
3.785651922225952,0.5480515182845332,84489,bnn,0.47159349216248936,3,,1,,1,1,7,,,,3,,4,3,True,1,,1,,False
17.960763931274414,0.2661219622858495,50024,ban,0.33783988545861626,4,1,3,4,2,2,4,2,,,3,5,16,13,True,2,1,2,2,True
11.742887496948242,0.23036732950275537,50024,ban,0.33783988545861626,4,1,3,4,2,2,4,2,,,3,5,16,13,True,2,1,2,2,True
9.419795989990234,0.20452434062293773,50024,ban,0.33783988545861626,4,1,3,4,2,2,4,2,,,3,5,16,13,True,2,1,2,2,True
13.439013481140137,0.2579834705637335,50024,ban,0.33783988545861626,4,1,3,4,2,2,4,2,,,3,5,16,13,True,2,1,2,2,True
8.437363624572754,0.0,50024,ban,0.33783988545861626,4,1,3,4,2,2,4,2,,,3,5,16,13,True,2,1,2,2,True
3.144010066986084,0.3255906066385514,56728,bwn,0.18170389089279781,3,,1,,1,2,5,5,,,8,,26,7,True,1,,1,,False
3.2124834060668945,0.3561060201621695,56728,bwn,0.18170389089279781,3,,1,,1,2,5,5,,,8,,26,7,True,1,,1,,False
3.4056644439697266,0.2544906081472819,50176,bwn,0.08949161820742663,,,,,0,2,7,7,,,,,12,3,True,,,,,True
3.4630112648010254,0.27380416978342215,50176,bwn,0.08949161820742663,,,,,0,2,7,7,,,,,12,3,True,,,,,True
3.4557666778564453,0.2595852231569381,50176,bwn,0.08949161820742663,,,,,0,2,7,7,,,,,12,3,True,,,,,True
3.3989124298095703,0.24362427242847176,50176,bwn,0.08949161820742663,,,,,0,2,7,7,,,,,12,3,True,,,,,True
6.610587120056152,0.5518023141301727,51004,ban,0.04757417816143067,4,,3,,1,3,3,1,1,,3,,29,4,True,3,,1,,True
4.120628833770752,0.4924613985796733,50076,bnn,0.38493742335646414,4,,1,,1,1,6,,,,7,,16,3,False,2,,1,,True
3.9078805446624756,0.44793343562833776,50076,bnn,0.38493742335646414,4,,1,,1,1,6,,,,7,,16,3,False,2,,1,,True
4.187667369842529,0.5098861445457044,50076,bnn,0.38493742335646414,4,,1,,1,1,6,,,,7,,16,3,False,2,,1,,True
3.9278008937835693,0.45925966466957135,50076,bnn,0.38493742335646414,4,,1,,1,1,6,,,,7,,16,3,False,2,,1,,True
4.059046268463135,0.4798802022505007,50076,bnn,0.38493742335646414,4,,1,,1,1,6,,,,7,,16,3,False,2,,1,,True
3.72845721244812,0.4175755218243923,50076,bnn,0.38493742335646414,4,,1,,1,1,6,,,,7,,16,3,False,2,,1,,True
5.735569477081299,0.5872397138550449,57230,bnn,0.4971335184042618,1,,2,,1,1,6,,,,7,,13,1,True,1,,2,,False
3.4837646484375,0.42279856897098583,57230,bnn,0.4971335184042618,1,,2,,1,1,6,,,,7,,13,1,True,1,,2,,False
3.6494710445404053,0.4740370571113113,81573,bwn,0.13120966300531728,1,,1,,1,1,6,,,,5,,12,1,True,1,,1,,True
3.093301296234131,0.3757433797009415,81573,bwn,0.13120966300531728,1,,1,,1,1,6,,,,5,,12,1,True,1,,1,,True
3.141505002975464,0.43839982785110604,81573,bwn,0.13120966300531728,1,,1,,1,1,6,,,,5,,12,1,True,1,,1,,True
4.922028064727783,0.6207836056263478,64608,ban,0.043366825611017845,,,,,0,1,3,,,,,,5,2,True,,,,,False
2.8292713165283203,0.34209501625943756,82696,bwn,0.006268602470625495,2,,1,,1,2,7,7,,,4,,10,5,True,2,,1,,True
3.0283517837524414,0.36361444273405213,82696,bwn,0.006268602470625495,2,,1,,1,2,7,7,,,4,,10,5,True,2,,1,,True
3.0771124362945557,0.3708374915855939,64852,bwn,0.056243348361623036,4,,1,,1,3,6,4,4,,5,,11,4,True,1,,1,,False
