Signal Type: Mean Signal AUC (0.3-3 kHz)
Validation Loss,Adjusted ROC AUC,Model Size (b),dropout,kernel_height_0,kernel_height_1,kernel_width_0,kernel_width_1,n_conv_layers,n_dense_layers,n_dense_units_0,n_dense_units_1,n_dense_units_2,n_dense_units_3,n_filters_0,n_filters_1,q_activation_bits,q_activation_ints,q_bias_conv_bits,q_bias_conv_ints,q_bias_dense_bits,q_bias_dense_ints,q_kernel_conv_bits,q_kernel_conv_ints,q_kernel_dense_bits,q_kernel_dense_ints,shortcut,stride_height_0,stride_height_1,stride_width_0,stride_width_1,use_bias_conv
6.292959213256836,0.28213919854563185,50046,0.139336111288685,1,,2,,1,1,2,,,,3,,28,27,,,13,1,17,4,20,4,False,1,,2,,False
7.262689113616943,0.4357078613881198,50046,0.139336111288685,1,,2,,1,1,2,,,,3,,28,27,,,13,1,17,4,20,4,False,1,,2,,False
6.684208869934082,0.2962593869936854,50046,0.139336111288685,1,,2,,1,1,2,,,,3,,28,27,,,13,1,17,4,20,4,False,1,,2,,False
7.480235576629639,0.45755636135218875,50046,0.139336111288685,1,,2,,1,1,2,,,,3,,28,27,,,13,1,17,4,20,4,False,1,,2,,False
7.249937057495117,0.31044548072109135,50046,0.139336111288685,1,,2,,1,1,2,,,,3,,28,27,,,13,1,17,4,20,4,False,1,,2,,False
6.844149112701416,0.30033841442880105,50046,0.139336111288685,1,,2,,1,1,2,,,,3,,28,27,,,13,1,17,4,20,4,False,1,,2,,False
11.453619003295898,0.5391304719068912,51248,0.19064318242366818,,,,,0,2,3,2,,,,,15,12,,,13,2,,,12,2,True,,,,,
6.9851555824279785,0.5388194548410831,51248,0.19064318242366818,,,,,0,2,3,2,,,,,15,12,,,13,2,,,12,2,True,,,,,
17.663541793823242,0.5471353124107263,51248,0.19064318242366818,,,,,0,2,3,2,,,,,15,12,,,13,2,,,12,2,True,,,,,
10.704504013061523,0.5222453323605103,50004,0.10454299601535322,,,,,0,3,2,1,1,,,,28,27,,,17,12,,,32,19,True,,,,,
10.610220909118652,0.4427236687850343,50004,0.10454299601535322,,,,,0,3,2,1,1,,,,28,27,,,17,12,,,32,19,True,,,,,
8.143044471740723,0.35009832807739155,50004,0.10454299601535322,,,,,0,3,2,1,1,,,,28,27,,,17,12,,,32,19,True,,,,,
9.27763843536377,0.39174443685969085,50004,0.10454299601535322,,,,,0,3,2,1,1,,,,28,27,,,17,12,,,32,19,True,,,,,
8.453524589538574,0.3856339397151393,50004,0.10454299601535322,,,,,0,3,2,1,1,,,,28,27,,,17,12,,,32,19,True,,,,,
9.933199882507324,0.39442254719530856,50004,0.10454299601535322,,,,,0,3,2,1,1,,,,28,27,,,17,12,,,32,19,True,,,,,
6.301808834075928,0.7233247907383497,75208,0.12804607391554224,,,,,0,2,3,1,,,,,6,4,,,10,8,,,27,2,True,,,,,
4.22161340713501,0.37365275750970983,50058,0.06605977503939658,3,2,3,4,2,2,3,2,,,6,6,8,5,,,5,5,15,14,25,20,True,1,1,3,1,False
3.800130605697632,0.3286194272394236,50058,0.06605977503939658,3,2,3,4,2,2,3,2,,,6,6,8,5,,,5,5,15,14,25,20,True,1,1,3,1,False
3.950411558151245,0.33812744970734865,50058,0.06605977503939658,3,2,3,4,2,2,3,2,,,6,6,8,5,,,5,5,15,14,25,20,True,1,1,3,1,False
4.546473026275635,0.5128986616284918,60984,0.019391466747716635,,,,,0,2,3,1,,,,,21,18,,,8,3,,,22,10,True,,,,,
4.825876235961914,0.53688029814517,60984,0.019391466747716635,,,,,0,2,3,1,,,,,21,18,,,8,3,,,22,10,True,,,,,
7.4604291915893555,0.5469151064481814,53296,0.20574830532748706,,,,,0,2,3,2,,,,,22,21,,,3,3,,,23,5,True,,,,,
9.546037673950195,0.46309165687905846,50224,0.47766772639904287,,,,,0,2,2,2,,,,,15,10,,,30,7,,,19,11,False,,,,,
4.054782390594482,0.49800905928303657,57921,0.013660817167134132,3,,3,,1,3,2,2,1,,7,,6,4,2,2,8,3,13,13,13,3,True,1,,2,,True
4.687018871307373,0.5274586575654648,57921,0.013660817167134132,3,,3,,1,3,2,2,1,,7,,6,4,2,2,8,3,13,13,13,3,True,1,,2,,True
3.786477565765381,0.27785888599441466,68288,0.025617001714802412,1,,4,,1,3,2,1,1,,8,,29,8,,,5,1,22,21,25,15,True,1,,3,,False
5.4346394538879395,0.6529748123318803,60652,0.06235672338866605,2,1,3,3,2,2,4,4,,,6,2,6,2,28,21,15,8,2,1,22,17,True,2,1,2,1,True
3.8054141998291016,0.35386442156495257,84760,0.025901096380774535,2,4,1,1,2,1,2,,,,4,8,30,5,,,30,27,1,1,19,4,True,1,4,1,1,False
3.991102695465088,0.345356691285659,60536,0.3536330657782415,4,4,2,1,2,1,3,,,,7,1,26,5,,,28,24,10,8,27,2,True,1,1,1,1,False
3.9722394943237305,0.39399144793092605,63744,0.04350238291084285,2,,3,,1,1,3,,,,4,,8,7,5,4,17,6,15,8,30,14,False,2,,3,,True
10.45205020904541,0.6405602581831895,51840,0.23037102229501877,,,,,0,2,2,1,,,,,6,4,,,23,17,,,28,17,True,,,,,
9.897284507751465,0.6314032251923776,51840,0.23037102229501877,,,,,0,2,2,1,,,,,6,4,,,23,17,,,28,17,True,,,,,
3.774873733520508,0.4309137650996404,87872,0.05220717686504256,2,4,1,2,2,2,4,2,,,5,5,6,5,12,6,8,5,4,3,13,6,True,1,4,1,1,True
3.4092655181884766,0.32704474404313355,87872,0.05220717686504256,2,4,1,2,2,2,4,2,,,5,5,6,5,12,6,8,5,4,3,13,6,True,1,4,1,1,True
3.685636043548584,0.4093836831351217,87872,0.05220717686504256,2,4,1,2,2,2,4,2,,,5,5,6,5,12,6,8,5,4,3,13,6,True,1,4,1,1,True
