trial_id,parameters,auc,primary_metric
831,331,0.9480031885086246,0.8413861601676236
840,163,0.94677298794725,0.8391454340405332
852,105,0.9398590979685412,0.8344221006769647
837,91,0.9406843705859169,0.8227927592889904
857,67,0.9360521582006913,0.8018349705660924
636,65,0.913760774215633,0.7460281610081604
624,61,0.9103284458559805,0.743970962172818
646,55,0.8995400391470204,0.714067805321989
631,43,0.8624453095461924,0.6244296896967718
427,31,0.8362945727620267,0.4506036445436157
828,19,0.8233473449412263,0.27545299796517514
