trial_id,parameters,auc,primary_metric
059,595,0.9368329721574975,0.8115981991951406
043,391,0.9391344572264638,0.8113294088123335
041,325,0.9334866824223458,0.8002294847025315
026,199,0.929253319789547,0.7957005632806334
042,163,0.92150816219992,0.7827499463326287
037,121,0.9126370502300305,0.7641768029969069
031,91,0.8956386575387912,0.6758865698537526
036,65,0.8476364120822615,0.500038700977502
048,55,0.8419163307988857,0.43858940984032824
040,31,0.8272157071746689,0.4076869816563413
035,25,0.5102130373797455,0.006460342080358994
