trial_id,parameters,auc,primary_metric
503,337,0.9481143284020949,0.8436447250265313
308,331,0.9474280249987759,0.8417438418581307
407,325,0.9471973690323459,0.8407723868525523
506,205,0.9456006243143839,0.8403847723747585
201,199,0.9462751375759257,0.8340689542572588
304,155,0.9430713515358777,0.832605573545463
309,121,0.9444410509000016,0.8318363916176101
200,99,0.936360950340857,0.8130875821261954
202,79,0.9365392758478579,0.805229771936349
206,45,0.9074480974102093,0.7484554379408661
204,31,0.8614713269266812,0.6322726846686683
306,25,0.7566752951480913,0.5236577866064382
208,19,0.8372483512504636,0.43400092519524347
