trial_id,parameters,auc,primary_metric
456,595,0.9408319312329987,0.8240302835148953
442,325,0.9387990553102469,0.8240275623524147
436,281,0.921887110203741,0.7864821718504812
439,235,0.9311814963620018,0.7792505313825622
444,211,0.9230606302444329,0.7480638928950447
449,163,0.9091986912884469,0.7455589116559482
455,151,0.9016146983711151,0.7281480070508342
426,79,0.9065963908561524,0.7263925548994531
437,65,0.8498245933547875,0.596635433768417
422,45,0.8625630065204126,0.5761084957716159
438,43,0.8389477200302018,0.5057628174311621
427,31,0.8362945727620267,0.4506036445436157
428,19,0.8234921660593663,0.37792441820034406
