trial_id,parameters,auc,primary_metric
1047,391,0.9480106694019825,0.8440894839164179
1046,265,0.9483342619652743,0.843450313084861
1042,211,0.9452101569303348,0.838253497449666
1051,205,0.9393380025374589,0.8368844503705315
1048,163,0.9452931797976465,0.8346839369778769
1036,155,0.9449033654783686,0.8277622066813608
1031,121,0.9418471349615151,0.8272188812393988
1034,91,0.9343880440263257,0.8098379094215715
1032,65,0.9241991303501219,0.738190910712612
1040,55,0.9047597470040729,0.724652825020182
1022,45,0.8617684506870918,0.5988308071874971
1039,43,0.8587095367983674,0.5911525937213711
1035,25,0.82340753744996,0.5835499681019287
1028,19,0.8116697974599648,0.5621670733292817
