trial_id,parameters,auc,primary_metric
657,501,0.9436402147718175,0.8372318521138897
649,463,0.9449332982619985,0.8350600621029749
654,415,0.9450773744053581,0.8347743400425106
647,265,0.9424836232448626,0.833537722870766
637,193,0.9432532594443819,0.8290236166668179
621,145,0.9421453609655578,0.8242727693270564
638,121,0.9317581205773173,0.8058012160572774
625,99,0.9206382664730826,0.7481038032780938
636,65,0.913760774215633,0.7460281610081604
624,61,0.9103284458559805,0.743970962172818
646,55,0.8995400391470204,0.714067805321989
631,43,0.8624453095461924,0.6244296896967718
643,31,0.7101965176964302,0.24334207128840998
628,19,0.5534153889531989,0.10385014255867885
